token,lemma,upos,clique,stem,synonyms,hypernyms
wide,wide,ADV,1,wide,astray|wide|widely,NA
application,application,NOUN,1,applic,application|application program|applications programme|coating|covering|diligence|lotion|practical application,use|usage|utilization|utilisation|employment|exercise|request|petition|postulation|manual labor|manual labour|program|programme|computer program|computer programme|remedy|curative|cure|therapeutic|effort|elbow grease|exertion|travail|sweat|action
positioning,position,VERB,1,posit,lay|place|pose|position|put|set,put|set|place|pose|position|lay|move|displace
device,device,NOUN,1,devic,device|gimmick|twist,instrumentality|instrumentation|expressive style|style|maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|design|pattern|figure|emblem
possible,possible,ADJ,1,possibl,possible|potential,
record,record,NOUN,1,record,book|criminal record|disc|disk|phonograph record|phonograph recording|platter|record|record book|track record,evidence|sound recording|audio recording|audio|number|accomplishment|achievement|fact|attainment|document|list|listing
store,store,NOUN,1,store,computer memory|computer storage|depot|entrepot|fund|memory|memory board|shop|stock|storage|store|storehouse,mercantile establishment|retail store|sales outlet|outlet|accumulation|memory device|storage device|hardware|computer hardware|depository|deposit|depositary|repository
great,great,ADJ,1,great,bang-up|big(p)|bully|capital|corking|cracking|dandy|enceinte|expectant|gravid|great|great(p)|groovy|heavy(p)|keen|large(p)|majuscule|neat|nifty|not bad(p)|old(a)|outstanding|peachy|slap-up|smashing|swell|with child(p),
number,number,NOUN,1,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
trajectory,trajectory,NOUN,1,trajectori,flight|trajectory,mechanical phenomenon
data,data,NOUN,1,data,data|information,collection|aggregation|accumulation|assemblage
various,various,ADJ,1,variou,assorted|diverse|respective(a)|several(a)|various|various(a)|versatile,
moving,move,VERB,1,move,act|actuate|affect|be active|displace|go|impress|incite|locomote|make a motion|motivate|move|proceed|prompt|propel|run|strike|travel,act|move|change|alter|vary|cause|do|make|affect|impress|strike|sell|live|propose|suggest|advise
objects,object,VERB,1,object,object,disapprove|reject|be
such,such,ADJ,1,such,such(a),
as,as,ADV,1,a,as|equally|every bit,
vehicle,vehicle,NOUN,1,vehicl,fomite|vehicle,conveyance|transport|medium|substance|object|physical object
position,position,NOUN,1,posit,attitude|berth|billet|emplacement|lieu|locating|location|military position|office|perspective|place|placement|position|positioning|post|posture|side|situation|spatial relation|spot|stance|status|stead|view,point|orientation|bodily property|state|occupation|business|job|line of work|line|relation|role|activity|condition|status|attitude|mental attitude|opinion|view|item|function|office|part|assumption
mobile,mobile,ADJ,1,mobil,fluid|mobile|nomadic|peregrine|roving|wandering,
user,user,NOUN,1,user,drug user|exploiter|substance abuser|user,person|individual|someone|somebody|mortal|soul|selfish person
activity,activity,NOUN,1,activ,action|activeness|activity|bodily function|bodily process|body process|natural action|natural process,act|deed|human action|human activity|state|organic process|biological process|capability|capacity|process|physical process|trait
animal,animal,NOUN,1,anim,animal|animate being|beast|brute|creature|fauna,organism|being
migration,migration,NOUN,1,migrat,migration,motion|movement|move|people|event|periodic event|recurrent event
so,so,ADV,1,so,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
trajectory,trajectory,NOUN,2,trajectori,flight|trajectory,mechanical phenomenon
clustering,cluster,NOUN,2,cluster,bunch|clump|cluster|clustering,agglomeration
effective,effective,ADJ,2,effect,effective|effectual|efficacious|efficient|good|in effect(p)|in force(p),
method,method,NOUN,2,method,method|method acting,know-how|acting|playing|playacting|performing
analysis,analysis,NOUN,2,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy
data,data,NOUN,2,data,data|information,collection|aggregation|accumulation|assemblage
has,have,VERB,2,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
recently,recently,ADV,2,recent,late|lately|latterly|of late|recently,
applied,apply,VERB,2,appli,apply|employ|enforce|give|go for|hold|implement|lend oneself|practice|put on|use|utilise|utilize,refer|pertain|relate|concern|come to|bear on|touch|touch on|have to do with|request|ask for|bespeak|call for|quest|cover|distribute|administer|mete out|deal|parcel out|lot|dispense|shell out|deal out|dish out|allot|dole out|compel|oblige|obligate|denote|give|dedicate|consecrate|commit|devote
traffic,traffic,NOUN,2,traffic,dealings|traffic,collection|aggregation|accumulation|assemblage|commerce|commercialism|mercantilism|communication|communicating|interchange|reciprocation|give-and-take
condition,condition,NOUN,2,condit,circumstance|condition|consideration|experimental condition|precondition|shape|status|stipulation|strings|term,state|premise|premiss|assumption|information|good health|healthiness|illness|unwellness|malady|sickness|statement|procedure|process
kan,kan,NOUN,2,kan,,NA
sun,sun,NOUN,2,sun,Dominicus|Lord's Day|sun|Sun|Sunday|sunlight|sunshine,light|visible light|visible radiation|important person|influential person|personage|star|rest day|day of rest
pattern,pattern,NOUN,2,pattern,approach pattern|blueprint|convention|design|figure|form|formula|normal|pattern|practice|radiation diagram|radiation pattern|rule|shape|traffic pattern,structure|activity|decoration|ornament|ornamentation|practice|exemplar|example|model|good example|plan|program|programme|path|route|itinerary|graph|graphical record|graphical recording
recognition,recognition,NOUN,2,recognit,acknowledgement|acknowledgment|credit|identification|realisation|realization|recognition,acceptance|memory|remembering|approval|commendation|understanding|apprehension|discernment|savvy|organic phenomenon|diplomacy|diplomatic negotiations|credence|appointment|assignment|designation|naming
augustin,augustin,NOUN,2,augustin,,NA
sharma,sharma,NOUN,2,sharma,,NA
hansman,hansman,NOUN,2,hansman,,NA
li,li,NOUN,2,li,atomic number 3|li|Li|lithium,metallic element|metal|linear unit|linear measure
ren,ren,VERB,2,ren,,NA
trajectory,trajectory,NOUN,3,trajectori,flight|trajectory,mechanical phenomenon
clustering,cluster,NOUN,3,cluster,bunch|clump|cluster|clustering,agglomeration
means,mean,VERB,3,mean,entail|have in mind|imply|intend|mean|signify|stand for|think|think of,NA
partition,partition,NOUN,3,partit,divider|division|partition|partitioning|sectionalisation|sectionalization|segmentation,structure|construction|computer memory unit|body part|separation
data,data,NOUN,3,data,data|information,collection|aggregation|accumulation|assemblage
groups,group,NOUN,3,group,chemical group|group|grouping|mathematical group|radical,abstraction|abstract entity|unit|building block|set
trajectories,trajectory,NOUN,4,trajectori,flight|trajectory,mechanical phenomenon
same,same,ADJ,4,same,like|same|same(p),
group,group,NOUN,4,group,chemical group|group|grouping|mathematical group|radical,abstraction|abstract entity|unit|building block|set
similar,similar,ADJ,4,similar,alike(p)|exchangeable|interchangeable|like|similar|standardised|standardized,
other,other,ADJ,4,other,early(a)|former(a)|other|other(a),
different,different,ADJ,4,differ,different,
groups,group,NOUN,4,group,chemical group|group|grouping|mathematical group|radical,abstraction|abstract entity|unit|building block|set
show,show,VERB,4,show,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run
features,feature,NOUN,4,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
lot,lot,NOUN,5,lot,band|batch|bunch|caboodle|circle|circumstances|deal|destiny|draw|fate|flock|fortune|good deal|great deal|hatful|heap|lot|Lot|luck|mass|mess|mickle|mint|mountain|muckle|passel|peck|pile|plenty|portion|pot|quite a little|raft|set|sight|slew|spate|stack|tidy sum|wad,large indefinite quantity|large indefinite amount|tract|piece of land|piece of ground|parcel of land|parcel|social group|condition|object|physical object|collection|aggregation|accumulation|assemblage
work,work,NOUN,5,work,body of work|employment|oeuvre|piece of work|study|work|workplace,activity|product|production|occupation|business|job|line of work|line|learning|acquisition|energy|free energy|geographic point|geographical point|end product|output
has,have,VERB,5,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
done,done,VERB,5,done,,NA
trajectory,trajectory,NOUN,5,trajectori,flight|trajectory,mechanical phenomenon
clustering,cluster,NOUN,5,cluster,bunch|clump|cluster|clustering,agglomeration
field,field,NOUN,5,field,airfield|area|arena|athletic field|bailiwick|battlefield|battleground|champaign|discipline|domain|field|field of battle|field of force|field of honor|field of operation|field of operations|field of study|field of view|flying field|force field|landing field|line of business|orbit|plain|playing area|playing field|sphere|study|subject|subject area|subject field|theater|theater of operations|theatre|theatre of operations,tract|piece of land|piece of ground|parcel of land|parcel|region|knowledge domain|knowledge base|domain|physical phenomenon|commercial enterprise|business enterprise|business|environment|land|dry land|earth|ground|solid ground|terra firma|set|geographical area|geographic area|geographical region|geographic region|visual percept|visual image|facility|installation
gaffney,gaffney,NOUN,6,gaffnei,,NA
smyth,smyth,NOUN,6,smyth,,NA
introduced,introduce,VERB,6,introduc,acquaint|bring in|bring out|enclose|enter|inaugurate|inclose|infix|innovate|insert|introduce|precede|preface|premise|present|put in|stick in|usher in,inform|initiate|pioneer|put|set|place|pose|position|lay|establish|give|attach|introduce|present|acquaint|project|propose|state|say|tell|begin|lead off|start|commence
probabilistic,probabilistic,ADJ,6,probabilist,probabilistic,
mixture,mixture,NOUN,6,mixtur,admixture|assortment|commixture|concoction|intermixture|miscellanea|miscellany|mix|mixed bag|mixing|mixture|motley|potpourri|salmagundi|smorgasbord|variety,substance|foodstuff|food product|collection|aggregation|accumulation|assemblage|combining|combine|combination|compounding
regression,regression,NOUN,6,regress,arrested development|fixation|infantile fixation|regress|regression|regression toward the mean|retrogression|retroversion|reversion|simple regression|statistical regression,abnormality|abnormalcy|defense mechanism|defense reaction|defence mechanism|defence reaction|defense|defence|statistical method|statistical procedure|reversal
model,model,NOUN,6,model,example|exemplar|fashion model|framework|good example|manakin|manikin|mannequin|mannikin|model|modeling|modelling|poser|role model|simulation|theoretical account,hypothesis|possibility|theory|kind|sort|form|variety|assistant|helper|help|supporter|representation|ideal|leader|mental representation|internal representation
trajectory,trajectory,NOUN,6,trajectori,flight|trajectory,mechanical phenomenon
data,data,NOUN,6,data,data|information,collection|aggregation|accumulation|assemblage
showed,show,VERB,6,show,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run
how,how,ADV,6,how,,NA
