token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
experiments,experiment,NOUN,35,experi,experiment|experimentation,scientific research|research project|inquiry|enquiry|research|venture,S0020025508004520,S0020025508004520_35
evaluate,evaluate,NOUN,35,evalu,NA,NA,S0020025508004520,S0020025508004520_35
informativeness,informativeness,NOUN,35,inform,NA,NA,S0020025508004520,S0020025508004520_35
level,level,NOUN,35,level,degree|floor|grade|horizontal surface|layer|level|point|spirit level|stage|storey|story|stratum|tier,property|rank|state|altitude|height|indicator|surface|place|structure|construction,S0020025508004520,S0020025508004520_35
extracts,extract,NOUN,35,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_35
carried,carry,VERB,35,carri,acquit|bear|behave|carry|channel|comport|conduct|contain|convey|deport|dribble|expect|express|extend|gestate|have a bun in the oven|hold|impart|pack|persuade|post|run|stock|stockpile|sway|take|transmit|transport,move|displace|have|feature|bring|convey|take|communicate|intercommunicate|hold|support|sustain|hold up|include|effect|continue|imply|involve|win|carry|bear|act|have got|circulate|circularize|circularise|distribute|disseminate|propagate|broadcast|spread|diffuse|disperse|pass around|hit|pass on|pass|pass along|put across|range|keep|maintain|influence|act upon|work|compensate|counterbalance|correct|make up|even out|even off|even up|promote|advance|boost|further|encourage|appropriate|capture|seize|conquer|transfer|shift|follow|grow|raise|farm|produce|propel|impel|hit the bottle|drink|booze|fuddle|nourish|nurture|travel|go|locomote|obtain|perform|execute|do|give birth|deliver|birth,S0020025508004520,S0020025508004520_35
out,out,ADV,35,out,away|out,NA,S0020025508004520,S0020025508004520_35
resulting,result,VERB,35,result,ensue|lead|leave|result,prove|turn out|turn up|produce|bring about|give rise|happen|hap|go on|pass off|occur|pass|fall out|come about|take place,S0020025508004520,S0020025508004520_35
scores,score,NOUN,35,score,account|grade|grievance|grudge|mark|musical score|score|scotch|sexual conquest,evaluation|valuation|rating|sheet music|number|set|reason|ground|fact|debt|incision|scratch|prick|slit|dent|resentment|bitterness|gall|rancor|rancour|success|seduction|conquest,S0020025508004520,S0020025508004520_35
rouge,rouge,NOUN,35,roug,blusher|paint|rouge,makeup|make-up|war paint,S0020025508004520,S0020025508004520_35
precision,precision,NOUN,35,precis,preciseness|precision,exactness|exactitude,S0020025508004520,S0020025508004520_35
recall,recall,VERB,35,recal,call back|call in|call up|come back|echo|hark back|recall|recollect|remember|retrieve|return|think|withdraw,denote|refer|resemble|call|send for|concentrate|focus|center|centre|pore|rivet|cancel|strike down|take,S0020025508004520,S0020025508004520_35
