clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,city,NN,NA,citi,city|metropolis|urban center,municipality|administrative district|administrative division|territorial division
1,edinburgh,NNP,NA,edinburgh,Edinburgh,
1,grow,VBD,ed,grow,acquire|arise|develop|farm|get|grow|maturate|mature|originate|produce|raise|rise|spring up|turn|uprise,change|increase|develop|make grow|become|cultivate
1,up,RB,NA,up,up|upward|upwardly|upwards,NA
1,steep,JJ,NA,steep,exorbitant|extortionate|outrageous|steep|unconscionable|usurious,
1,ragged,JJ,NA,rag,ragged,
1,cliff,NN,NA,cliff,cliff|drop|drop-off,geological formation|formation
1,castle,NNP,NA,castl,castle|castling|palace|rook,mansion|mansion house|manse|hall|residence|fortification|munition|chessman|chess piece|chess move
1,rock,NNP,NA,rock,careen|John Rock|rock|Rock|rock 'n' roll|rock and roll|rock candy|rock music|rock-and-roll|rock'n'roll|stone|sway|tilt,natural object|material|stuff|good person|candy|confect|popular music|popular music genre|lurch|pitch|pitching
1,easily,RB,NA,easili,easily|easy|well,NA
1,defend,VBD,ed,defend,champion|defend|fend for|fight|fight back|fight down|guard|hold|maintain|oppose|represent|support,argue|reason|prevent|keep|protect|contend|fight|struggle|back|endorse|indorse|plump for|plunk for|support|affirm
1,summit,NN,NA,summit,acme|crest|crown|elevation|height|meridian|peak|pinnacle|summit|summit meeting|superlative|tip|tiptop|top,degree|level|stage|point|topographic point|place|spot|meeting|group meeting
2,archaeological,NNP,NA,archaeolog,,NA
2,excavation,NNS,s,excav,archeological site|dig|digging|excavation|mining,creating by removal|site|land site|artifact|artefact|production
2,have,VBP,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
2,reveal,VBN,ed,reveal,break|bring out|disclose|discover|divulge|expose|give away|let on|let out|reveal|uncover|unveil|unwrap,show|tell|unwrap|disclose|let on|bring out|reveal|discover|expose|divulge|break|give away|let out|uncover
2,evidence,NN,NA,evid,evidence|grounds,information|indication|indicant|info
2,habitation,NN,NA,habit,abode|domicile|dwelling|dwelling house|habitation|home|inhabitancy|inhabitation,habitat|home ground|housing|lodging|living accommodations|occupancy|tenancy
2,here,RB,NA,here,here|hither,NA
2,long,RB,NA,long,long,NA
2,ago,RB,NA,ago,ago,NA
2,900,CD,NA,900,NA,NA
2,very,RB,NA,veri,rattling|real|really|very,NA
2,little,JJ,NA,littl,fiddling|footling|lilliputian|little|little(a)|minuscule|niggling|petty|picayune|piddling|piffling|short|slight|small|trivial,
2,however,RB,NA,howev,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
2,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,know,VBN,en,know,acknowledge|bang|be intimate|bed|bonk|cognise|cognize|do it|eff|experience|fuck|get it on|get laid|have a go at it|have intercourse|have it away|have it off|have sex|hump|jazz|know|lie with|live|love|make love|make out|recognise|recognize|roll in the hay|screw|sleep together|sleep with,experience|see|go through|accept|copulate|mate|pair|couple|recognize|recognise|realize|realise|agnize|agnise|distinguish|separate|differentiate|secern|secernate|severalize|severalise|tell|tell apart|remember|retrieve|recall|call back|call up|recollect|think
2,rock,NNP,NA,rock,careen|John Rock|rock|Rock|rock 'n' roll|rock and roll|rock candy|rock music|rock-and-roll|rock'n'roll|stone|sway|tilt,natural object|material|stuff|good person|candy|confect|popular music|popular music genre|lurch|pitch|pitching
2,inhabitant,NNS,s,inhabit,denizen|dweller|habitant|indweller|inhabitant,person|individual|someone|somebody|mortal|soul
2,century,NNS,s,centuri,100|C|century|hundred|one C,time period|period of time|period|large integer
2,first,JJ,NA,first,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,
2,occupation,NN,NA,occup,business|job|line|line of work|military control|moving in|occupancy|occupation,activity|social control|acquiring|getting|time period|period of time|period
2,time,NN,NA,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
2,macalpin,NNP,NA,macalpin,,NA
