clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,appeal,NN,NA,appeal,appeal|appealingness|charm|collection|entreaty|ingathering|prayer|solicitation,request|asking|attractiveness|proceeding|legal proceeding|proceedings|petition|postulation
1,french,NNP,NA,french,Daniel Chester French|French|French people,Romance|Romance language|Latinian language|nation|land|country
1,west,NNP,NA,west,Benjamin West|Cicily Isabel Fairfield|Dame Rebecca West|due west|Mae West|Occident|Rebecca West|W|west|West|western United States|westward,cardinal compass point|direction|location
1,indy,NNP,s,indi,,NA
1,today,NN,NA,todai,today,present|nowadays|day|twenty-four hours|twenty-four hour period|24-hour interval|solar day|mean solar day
1,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
1,nothing,NN,NA,noth,aught|cipher|cypher|goose egg|nada|naught|nil|nix|nothing|null|zero|zilch|zip|zippo,relative quantity
1,much,JJ,NA,much,much(a),
1,happen,VBZ,s,happen,bechance|befall|bump|chance|come about|encounter|fall out|find|go on|hap|happen|materialise|materialize|occur|pass|pass off|take place,happen|hap|go on|pass off|occur|pass|fall out|come about|take place|chance
2,not,RB,NA,not,non|not,NA
2,so,RB,NA,so,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
2,bad,JJ,NA,bad,bad|big|defective|forged|high-risk|regretful|risky|sorry|speculative|spoiled|spoilt|tough|uncollectible|unfit|unsound,
2,old,JJ,NA,old,bang-up|bully|corking|cracking|dandy|erstwhile(a)|former(a)|great|groovy|keen|neat|nifty|not bad(p)|old|Old|old(a)|older|one-time(a)|onetime(a)|peachy|previous(a)|quondam(a)|slap-up|smashing|sometime(a)|swell,
2,day,NNS,s,dai,24-hour interval|Clarence Day|Clarence Shepard Day Jr.|day|Day|daylight|daytime|mean solar day|sidereal day|solar day|twenty-four hour period|twenty-four hours,time unit|unit of time|time|calendar day|civil day|time period|period of time|period|work time|era|epoch|sidereal time|opportunity|chance
3,unlikely,RB,NA,unlik,,NA
3,seem,VBZ,s,seem,appear|look|seem,be|appear|seem
3,now,RB,NA,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
3,one,CD,NA,on,NA,NA
3,time,NN,NA,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
3,sugar,NN,NA,sugar,boodle|bread|cabbage|carbohydrate|clams|dinero|dough|gelt|kale|lettuce|lolly|loot|lucre|moolah|pelf|refined sugar|saccharide|scratch|shekels|simoleons|sugar|wampum,sweetening|sweetener|macromolecule|supermolecule|money
3,island,NNS,s,island,island,land|dry land|earth|ground|solid ground|terra firma|zone
3,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
3,close,RB,NA,close,close|closely|near|nigh|tight,NA
3,center,NN,NA,center,center|center field|center of attention|centerfield|centre|centre of attention|core|essence|eye|gist|heart|heart and soul|inwardness|kernel|mall|marrow|meat|middle|midpoint|nerve center|nerve centre|nitty-gritty|nub|pith|plaza|shopping center|shopping centre|shopping mall|snapper|substance|sum,area|country|tract|piece of land|piece of ground|parcel of land|parcel|building|edifice|point|content|cognitive content|mental object|object|neural structure|formation|basketball player|basketeer|cager|lineman|place|property|class|stratum|social class|socio-economic class|hockey player|ice-hockey player|sweet|confection|mercantile establishment|retail store|sales outlet|outlet|position
3,stage,NN,NA,stage,degree|leg|level|microscope stage|phase|point|stage|stagecoach,time period|period of time|period|state|platform|dramaturgy|dramatic art|dramatics|theater|theatre|coach|four-in-hand|coach-and-four|travel|traveling|travelling|scene
3,great,JJ,NA,great,bang-up|big(p)|bully|capital|corking|cracking|dandy|enceinte|expectant|gravid|great|great(p)|groovy|heavy(p)|keen|large(p)|majuscule|neat|nifty|not bad(p)|old(a)|outstanding|peachy|slap-up|smashing|swell|with child(p),
3,power,NNS,s,power,ability|baron|big businessman|business leader|electrical energy|electricity|exponent|force|great power|index|king|magnate|major power|might|mightiness|mogul|office|power|powerfulness|superpower|top executive|tycoon|world power,quality|physical phenomenon|cognition|knowledge|noesis|state|causal agent|cause|causal agency|mathematical notation|strength|nation|country|land|commonwealth|res publica|body politic|energy|free energy|businessman|man of affairs
3,europe,NNP,NA,europ,Common Market|EC|EEC|EU|Europe|European Community|European Economic Community|European Union,world organization|world organisation|international organization|international organisation|global organization|collection|aggregation|accumulation|assemblage
3,warred,JJ,NA,war,,NA
3,fiercely,RB,NA,fierc,ferociously|fiercely,
3,world,NN,NA,world,cosmos|creation|domain|earth|Earth|earthly concern|existence|globe|human beings|human race|humanity|humankind|humans|macrocosm|man|mankind|populace|public|reality|universe|world|worldly concern,natural object|class|stratum|social class|socio-economic class|experience|people|part|piece|concern|homo|man|human being|human|group|grouping
3,commercial,JJ,NA,commerci,commercial|commercial-grade,
3,domination,NN,NA,domin,domination|mastery|supremacy,social control|dominance|ascendance|ascendence|ascendancy|ascendency|control
4,france,NNP,NA,franc,Anatole France|France|French Republic|Jacques Anatole Francois Thibault,
4,know,VBD,ed,know,acknowledge|bang|be intimate|bed|bonk|cognise|cognize|do it|eff|experience|fuck|get it on|get laid|have a go at it|have intercourse|have it away|have it off|have sex|hump|jazz|know|lie with|live|love|make love|make out|recognise|recognize|roll in the hay|screw|sleep together|sleep with,experience|see|go through|accept|copulate|mate|pair|couple|recognize|recognise|realize|realise|agnize|agnise|distinguish|separate|differentiate|secern|secernate|severalize|severalise|tell|tell apart|remember|retrieve|recall|call back|call up|recollect|think
4,good,JJ,NA,good,adept|beneficial|dear|dependable|effective|estimable|expert|full|good|honest|honorable|in effect(p)|in force(p)|just|near|practiced|proficient|respectable|right|ripe|safe|salutary|secure|serious|skilful|skillful|sound|unspoiled|unspoilt|upright|well(p),
4,thing,NN,NA,thing,affair|matter|thing,situation|state of affairs|action|abstraction|abstract|artifact|artefact|happening|occurrence|occurrent|natural event|concern|statement|entity|attribute|aim|object|objective|target|feeling|physical entity
4,seize,VBD,ed,seiz,appropriate|arrogate|assume|attach|capture|clutch|confiscate|conquer|get hold of|grab|impound|prehend|seize|sequester|take over|usurp,take|get hold of|assume|usurp|seize|take over|arrogate|hook|overwhelm|overpower|sweep over|whelm|overcome|overtake|intrigue|fascinate
4,one,CD,NA,on,NA,NA
4,then,RB,NA,then,and so|so|then,NA
4,so,RB,NA,so,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
4,do,VBD,ed,do,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
4,britain,NNP,NA,britain,Britain|Great Britain|U.K.|UK|United Kingdom|United Kingdom of Great Britain and Northern Ireland,
5,begin,VBD,ed,begin,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach
5,much,RB,NA,much,a good deal|a great deal|a lot|lots|much|often|practically|very much,NA
5,more,RBR,NA,more,more|to a greater extent,
5,peacefully,RB,NA,peacefulli,peacefully,
6,perhap,RB,s,perhap,,NA
6,2,CD,NA,2,NA,NA
6,000,CD,NA,000,NA,NA
6,year,NNS,s,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
6,ago,RB,NA,ago,ago,NA
6,indian,NNPS,s,indian,American Indian|American-Indian language|Amerind|Amerindian language|Indian,Asian|Asiatic|natural language|tongue
6,sometime,RB,s,sometim,sometime,NA
6,call,VBN,ed,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse
6,saloide,NNP,s,saloid,,NA
6,orinoco,NNP,NA,orinoco,Orinoco|Orinoco River,
6,basin,NN,NA,basin,basin|basinful|catchment area|catchment basin|drainage area|drainage basin|lavatory|river basin|washbasin|washbowl|washstand|watershed,vessel|containerful|natural depression|depression|geographical area|geographic area|geographical region|geographic region|sink
6,south,NNP,NA,south,Confederacy|Confederate States|Confederate States of America|Dixie|Dixieland|due south|S|south|South|southward,cardinal compass point|location|direction
6,america,NNP,NA,america,America|the States|U.S.|U.S.A.|United States|United States of America|US|USA,
6,begin,VBD,ed,begin,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach
6,migrate,VBG,ing,migrat,migrate|transmigrate,move
6,antille,NNPS,s,antil,,NA
6,chain,NN,NA,chain,chain|Chain|chain of mountains|chemical chain|concatenation|Ernst Boris Chain|mountain chain|mountain range|range|range of mountains|Sir Ernst Boris Chain|strand|string,series|unit|building block|ligament|business|concern|business concern|business organization|business organisation|restraint|constraint|linear unit|linear measure|geological formation|formation|necklace
6,reach,VBG,ing,reach,accomplish|achieve|arrive at|attain|contact|extend to|gain|get hold of|get through|get to|give|hand|hit|make|pass|pass on|progress to|reach|reach out|strain|strive|touch|turn over,arrive|get|come|move|communicate|intercommunicate|succeed|win|come through|bring home the bacon|deliver the goods|be|achieve|accomplish|attain|reach|transfer|tug|labor|labour|push|drive
6,martinique,NNP,NA,martiniqu,Martinique,
6,guadeloupe,NNP,NA,guadeloup,Guadeloupe,
6,200,CD,NA,200,NA,NA
7,volcanic,JJ,NA,volcan,volcanic,
7,eruption,NN,NA,erupt,bam|bang|blast|clap|eructation|eruption|extravasation|irruption|outbreak|volcanic eruption,discharge|symptom|action|activity|activeness|happening|occurrence|occurrent|natural event|noise|emergence|egress|issue
7,martinique,NNP,NA,martiniqu,Martinique,
7,prevent,VBD,ed,prevent,forbid|foreclose|forestall|keep|preclude|prevent,
7,early,JJ,NA,earli,early|early(a)|former(a)|other(a),
7,island-hopper,JJ,s,island-hopp,,NA
7,stay,VBG,ing,stai,abide|appease|bide|continue|delay|detain|last out|outride|persist|quell|remain|rest|ride out|stay|stay on|stay put|stick|stick around,be|stay in place|stay|stay on|continue|remain|check|retard|delay|stop|halt|block|kibosh|fasten|fix|secure|fit|conform to|meet|satisfy|fill|fulfill|fulfil
7,long,JJ,NA,long,farseeing|farsighted|foresighted|foresightful|long|longsighted|prospicient|recollective|retentive|tenacious,
8,soon,RB,NA,soon,before long|presently|shortly|soon,NA
8,vanish,VBD,ed,vanish,disappear|fell|fly|go away|vanish|vaporize,end|stop|finish|terminate|cease|elapse|lapse|pass|slip by|glide by|slip away|go by|slide by|go along|decrease|diminish|lessen|fall
8,history,NN,NA,histori,account|chronicle|history|story,past|past times|yesteryear|record|humanistic discipline|humanities|liberal arts|arts|continuum|cognition|knowledge|noesis
8,leave,VBG,ing,leav,allow|allow for|bequeath|depart|entrust|exit|forget|get out|give|go away|go forth|go out|impart|lead|leave|leave alone|leave behind|let alone|pass on|provide|pull up stakes|result|will,make|get|refrain|forbear|move|yield|give|afford|produce|bring about|give rise|change|pass|hand|reach|pass on|turn over|gift|present|have|tell|lose
8,only,RB,NA,onli,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA
8,scantiest,NN,NA,scantiest,,NA
8,archaeological,JJ,NA,archaeolog,archaeologic|archaeological|archeologic|archeological,
8,trace,NNS,s,trace,ghost|hint|shadow|suggestion|tincture|tint|touch|trace|tracing|vestige,small indefinite quantity|small indefinite amount|indication|indicant|suggestion|proposition|proffer|drawing|line|mark|print
9,300,CD,NA,300,NA,NA
9,new,JJ,NA,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
9,larger,JJR,NA,larger,bigger|larger,
9,wave,NN,NA,wave,moving ridge|undulation|wafture|wave|Wave|waving,movement|motion|move|motility|rise|gesture|hairdo|hairstyle|hair style|coiffure|coif|curve|curved shape|weather|weather condition|conditions|atmospheric condition|reservist|woman|adult female
9,amerindian,NNP,s,amerindian,Amerindian|Native American,person|individual|someone|somebody|mortal|soul|person of color|person of colour
9,orinoco,NNP,NA,orinoco,Orinoco|Orinoco River,
9,basin,NN,NA,basin,basin|basinful|catchment area|catchment basin|drainage area|drainage basin|lavatory|river basin|washbasin|washbowl|washstand|watershed,vessel|containerful|natural depression|depression|geographical area|geographic area|geographical region|geographic region|sink
9,settle,VBN,ed,settl,adjudicate|conciliate|decide|descend|determine|ensconce|fall|finalise|finalize|get back|go down|go under|locate|make up|nail down|patch up|reconcile|resolve|root|settle|settle down|sink|square off|square up|steady down|subside|take root,put|set|place|pose|position|lay|end|terminate|conclude|resolve|agree|hold|concur|concord|descend|fall|go down|come down|stabilize|stabilise|become|go|get|build up|develop|stop|halt|arrange|set up|accept|consent|go for|fix up|change|sink|settle|go under|contend|fight|struggle|come
