clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,french,NNPS,NA,french,Daniel Chester French|French|French people,Romance|Romance language|Latinian language|nation|land|country
1,have,VBP,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,alway,RB,s,alwai,,NA
1,want,VBN,ed,want,desire|need|require|want,be|search|seek|look for|demand|miss|lack
1,know,VB,NA,know,acknowledge|bang|be intimate|bed|bonk|cognise|cognize|do it|eff|experience|fuck|get it on|get laid|have a go at it|have intercourse|have it away|have it off|have sex|hump|jazz|know|lie with|live|love|make love|make out|recognise|recognize|roll in the hay|screw|sleep together|sleep with,experience|see|go through|accept|copulate|mate|pair|couple|recognize|recognise|realize|realise|agnize|agnise|distinguish|separate|differentiate|secern|secernate|severalize|severalise|tell|tell apart|remember|retrieve|recall|call back|call up|recollect|think
1,mean,VBZ,s,mean,entail|have in mind|imply|intend|mean|signify|stand for|think|think of,NA
1,be,VB,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
1,french­man,NNP,NA,french­man,,NA
2,history,NN,NA,histori,account|chronicle|history|story,past|past times|yesteryear|record|humanistic discipline|humanities|liberal arts|arts|continuum|cognition|knowledge|noesis
2,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
2,be,VBN,en,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,constant,JJ,NA,constant,ceaseless|changeless|constant|incessant|invariant|never-ending|perpetual|unceasing|unremitting|unvarying,
2,quest,NN,NA,quest,pursuance|pursuit|quest|seeking,search|hunt|hunting
2,national,JJ,NA,nation,home(a)|interior(a)|internal|national,
2,identity,NN,NA,ident,identicalness|identity|identity element|identity operator|indistinguishability|individuality|personal identity,personality|recognition|identification|operator|sameness
3,conflict,NN,NA,conflict,battle|conflict|difference|difference of opinion|dispute|engagement|fight|struggle,group action|ambivalence|ambivalency|military action|action|state|incompatibility|opposition|oppositeness|disagreement
3,strong,JJ,NA,strong,firm|hard|impregnable|inviolable|potent|secure|solid|stiff|strong|substantial|unassailable|unattackable|warm,
3,regional,JJ,NA,region,regional,
3,loyalty,NNS,s,loyalti,allegiance|commitment|dedication|loyalty|trueness,fidelity|faithfulness|love|cooperation
3,central,JJ,NA,central,cardinal|central|fundamental|key|primal,
3,authority,NN,NA,author,agency|assurance|authorisation|authority|authorization|bureau|confidence|dominance|federal agency|government agency|office|potency|sanction|say-so|self-assurance|self-confidence|sureness,control|person|individual|someone|somebody|mortal|soul|expert|certainty|administrative unit|administrative body|permission|book
4,2000,CD,NA,2000,NA,NA
4,celtic,NNP,NA,celtic,Celtic|Celtic language,Indo-European|Indo-European language|Indo-Hittite
4,tribe,NNS,s,tribe,clan|federation of tribes|folk|kin|kin group|kindred|kinship group|tribe,social group|nation|taxonomic group|taxonomic category|taxon
4,—,NN,NA,—,,NA
4,probably,RB,NA,probabl,believably|belike|credibly|in all likelihood|in all probability|likely|plausibly|probably,
4,eastern,JJ,NA,eastern,easterly|eastern,
4,europe,NNP,NA,europ,Common Market|EC|EEC|EU|Europe|European Community|European Economic Community|European Union,world organization|world organisation|international organization|international organisation|global organization|collection|aggregation|accumulation|assemblage
4,—,NN,NA,—,,NA
4,come,VBD,ed,come,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA
4,look,VBG,ing,look,appear|attend|await|bank|bet|calculate|count|depend|expect|face|front|look|reckon|rely|search|see|seem|swear|take care|wait,be|examine|see|lie|care|give care|convey|match|fit|correspond|check|jibe|gibe|tally|agree|trust
4,greener,JJR,NA,greener,,NA
4,pasture,NNS,s,pastur,eatage|forage|grass|grazing land|lea|ley|pasturage|pasture|pastureland,grassland|fodder
4,area,NNS,s,area,area|arena|country|domain|expanse|field|orbit|region|sphere|surface area,region|topic|subject|issue|matter|body part|environment|structure|construction|extent
4,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
4,now,RB,NA,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
4,franche-,NNP,NA,franche-,,NA
4,comté,NNP,NA,comté,,NA
4,alsace,NNP,NA,alsac,Alsace|Alsatia|Elsass,
4,bur­gundy,NNP,NA,bur­gundi,,NA
5,same,JJ,NA,same,like|same|same(p),
5,time,NN,NA,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
5,migrant,NNS,s,migrant,migrant|migrator,traveler|traveller
5,mediterranean,NNP,NA,mediterranean,Mediterranean|Mediterranean Sea,
5,country,NNS,s,countri,area|body politic|commonwealth|country|land|nation|res publica|rural area|state,political unit|political entity|administrative district|administrative division|territorial division|people|geographical area|geographic area|geographical region|geographic region|region
5,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
5,trickle,VBG,ing,trickl,dribble|filter|trickle,run|flow|feed|course
5,south,NN,NA,south,Confederacy|Confederate States|Confederate States of America|Dixie|Dixieland|due south|S|south|South|southward,cardinal compass point|location|direction
6,first,JJ,NA,first,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,
6,record,VBN,ed,record,enter|put down|read|record|register|show|tape,save|preserve|record|enter|put down|indicate
6,settlement,NN,NA,settlement,closure|colonisation|colonization|colony|liquidation|resolution|settlement|small town|village,body|community|agreement|understanding|constitution|establishment|formation|organization|organisation|decision making|deciding|geographical area|geographic area|geographical region|geographic region|termination|ending|conclusion
6,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
6,trading,NN,NA,trade,trading,commerce|commercialism|mercantilism
6,post,NN,NA,post,berth|billet|C. W. Post|Charles William Post|Emily Post|Emily Price Post|mail|mail service|military post|office|place|position|post|Post|postal service|situation|spot|stake|station|Wiley Post,position|place|military installation|occupation|business|job|line of work|line|upright|vertical|collection|aggregation|accumulation|assemblage|visual signal|communication|communicating|delivery|bringing
6,set,VBN,NA,set,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten
6,phocaean,NNP,NA,phocaean,,NA
6,greek,NNPS,s,greek,Greek|Hellene|Hellenic|Hellenic language,Indo-European|Indo-European language|Indo-Hittite|European
6,asium,NNP,s,asium,,NA
6,minor,NNP,NA,minor,child|fry|kid|minor|nestling|nipper|shaver|small fry|tiddler|tike|tyke|youngster,juvenile|juvenile person
6,massalium,NNP,s,massalium,,NA
6,mar­seilles,NNP,NA,mar­seil,,NA
6,600,CD,NA,600,NA,NA
6,follow,VBN,ed,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on
6,other,JJ,NA,other,early(a)|former(a)|other|other(a),
6,port,NNS,s,port,embrasure|interface|larboard|port|port wine|porthole,geographic point|geographical point|fortified wine|opening|side|computer circuit
6,hyères,NNP,NA,hyèr,,NA
6,antibe,NNP,s,antib,,NA
6,nice,NNP,NA,nice,Nice,
7,greek,NNPS,s,greek,Greek|Hellene|Hellenic|Hellenic language,Indo-European|Indo-European language|Indo-Hittite|European
7,develop,VBD,ed,develop,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand
7,few,JJ,NA,few,few,
7,contact,NNS,s,contact,contact|contact lens|impinging|inter-group communication|liaison|link|middleman|physical contact|striking|tangency|touch,interaction|touch|touching|connection|link|connectedness|happening|occurrence|occurrent|natural event|representative|channel|communication channel|line|junction|conjunction|communication|communicating|lens|lense|lens system
7,interior,NN,NA,interior,Department of the Interior|DoI|inside|interior|Interior|Interior Department,region|part|surface|executive department
7,little,JJ,NA,littl,fiddling|footling|lilliputian|little|little(a)|minuscule|niggling|petty|picayune|piddling|piffling|short|slight|small|trivial,
7,commerce,NN,NA,commerc,commerce|Commerce|Commerce Department|commercialism|Department of Commerce|DoC|mercantilism,transaction|dealing|dealings|executive department|conversation
7,olive,NNS,s,oliv,European olive tree|Olea europaea|olive,fruit|olive tree|wood|relish|drupe|stone fruit|chromatic color|chromatic colour|spectral color|spectral colour
7,wine,NN,NA,wine,vino|wine|wine-colored|wine-coloured,alcohol|alcoholic drink|alcoholic beverage|intoxicant|inebriant|dark red
7,celt,NNP,s,celt,Celt|Kelt,European
7,burgundy,NNP,NA,burgundi,Bourgogne|burgundy|Burgundy|Burgundy wine,wine|vino|dark red
8,position,NN,NA,posit,attitude|berth|billet|emplacement|lieu|locating|location|military position|office|perspective|place|placement|position|positioning|post|posture|side|situation|spatial relation|spot|stance|status|stead|view,point|orientation|bodily property|state|occupation|business|job|line of work|line|relation|role|activity|condition|status|attitude|mental attitude|opinion|view|item|function|office|part|assumption
8,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
8,threaten,VBN,ed,threaten,endanger|imperil|jeopardise|jeopardize|menace|peril|threaten,exist|be|warn|bode|portend|auspicate|prognosticate|omen|presage|betoken|foreshadow|augur|foretell|prefigure|forecast|predict
8,ligurian,NNP,NA,ligurian,,NA
8,pirate,NNS,s,pirat,buccaneer|literary pirate|pirate|pirate ship|plagiariser|plagiarist|plagiarizer|sea robber|sea rover,thief|stealer|plunderer|pillager|looter|spoiler|despoiler|raider|freebooter|ship
8,sea,NN,NA,sea,ocean|sea,body of water|water|large indefinite quantity|large indefinite amount|turbulent flow
8,warlike,NN,NA,warlik,,NA
8,tribe,NNS,s,tribe,clan|federation of tribes|folk|kin|kin group|kindred|kinship group|tribe,social group|nation|taxonomic group|taxonomic category|taxon
8,inland,RB,NA,inland,inland,NA
8,merchant,NNS,s,merchant,merchandiser|merchant,businessperson|bourgeois
8,marseille,NNP,s,marseil,marseille|Marseille|Marseilles,fabric|cloth|material|textile
8,call,VBD,ed,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse
8,rome,NNP,NA,rome,capital of Italy|Eternal City|Italian capital|Roma|Rome,leadership|leaders
8,help,NN,NA,help,aid|assist|assistance|assistant|avail|help|helper|service|supporter,activity|worker|resource|helpfulness
9,125,CD,NA,125,NA,NA
9,roman,NNP,s,roman,roman|Roman|roman letters|roman print|roman type,Italian|European|proportional font
9,come,VBD,ed,come,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA
9,force,NN,NA,forc,effect|force|force out|force play|force-out|forcefulness|military force|military group|military unit|personnel|power|strength|violence,influence|physical phenomenon|intensity|intensiveness|organization|organisation|unit|social unit|aggression|hostility|causal agent|cause|causal agency|social group|validity|validness|putout
9,conquered,JJ,NA,conquer,,NA
9,gallic,NNP,NA,gallic,,NA
9,barbarian,NNS,s,barbarian,barbarian|boor|churl|Goth|peasant|savage|tike|tyke,primitive|primitive person|unpleasant person|disagreeable person
9,set,VBD,NA,set,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten
9,fortress,NNS,NA,fortress,fort|fortress,defensive structure|defense|defence
9,aqua,NNP,s,aqua,aqua|aquamarine|cobalt blue|greenish blue|peacock blue|turquoise,blue|blueness
9,sextia,NNP,s,sextia,,NA
9,aix-en-,NNP,NA,aix-en-,,NA
9,provence,NNP,NA,provenc,Provence,
10,take,VBD,ed,take,accept|acquire|admit|adopt|aim|ask|assume|bring|call for|carry|charter|choose|claim|conduct|consider|consume|contain|contract|convey|deal|demand|direct|drive|engage|exact|fill|film|get|get hold of|guide|have|hire|hold|ingest|involve|lead|learn|lease|look at|make|necessitate|need|occupy|pack|pick out|postulate|read|remove|rent|require|select|shoot|strike|study|submit|subscribe|subscribe to|take|take aim|take away|take in|take on|take up|train|use up|withdraw,NA
10,advantage,NN,NA,advantag,advantage|reward|vantage,asset|plus|point|benefit|welfare
10,new,JJ,NA,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
10,stronghold,NN,NA,stronghold,fastness|stronghold,defensive structure|defense|defence
10,create,VB,NA,creat,create|make|produce,act|move|appoint|charge|make|create
10,provincium,NNP,s,provincium,,NA
10,now,RB,NA,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
10,provence,NNP,NA,provenc,Provence,
10,stretch,VBG,ing,stretch,adulterate|debase|dilute|elongate|extend|load|stretch|stretch along|stretch out|unfold,be|tense|strain|tense up|change shape|change form|deform|grow|lengthen|lie down|lie|pull|draw|widen|broaden|extend|corrupt|spoil|increase|move
10,alp,NNP,s,alp,alp,mountain|mount
10,pyrénées,NNP,NA,pyréné,,NA
10,order,NN,NA,order,club|decree|edict|fiat|gild|guild|Holy Order|lodge|monastic order|order|Order|order of magnitude|ordering|orderliness|ordination|parliamentary law|parliamentary procedure|purchase order|rescript|rules of order|social club|society,command|bid|bidding|dictation|magnitude|state|arrangement|condition|status|act|enactment|commercial document|commercial instrument|association|rule|prescript|position|sect|religious sect|religious order|taxonomic group|taxonomic category|taxon|request|asking|artistic style|idiom|organization|organisation
10,guarantee,VB,NA,guarante,assure|ensure|guarantee|insure|secure|undertake|vouch|warrant,pledge|plight|promise|assure|back|endorse|indorse|plump for|plunk for|support
10,communication,NNS,s,commun,communicating|communication,act|deed|human action|human activity|abstraction|abstract entity|connection|connexion|connectedness
10,italy,NNP,NA,itali,Italia|Italian Republic|Italy,
10,spain,NNP,NA,spain,Espana|Kingdom of Spain|Spain,
11,province,NN,NA,provinc,province|responsibility|state,administrative district|administrative division|territorial division|sphere|domain|area|orbit|field|arena
11,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
11,endanger,VBN,ed,endang,endanger|expose|imperil|jeopardise|jeopardize|menace|peril|queer|scupper|threaten,exist|be|affect|impact|bear upon|bear on|touch on|touch
11,fresh,JJ,NA,fresh,bracing|brisk|clean|fresh|impertinent|impudent|invigorated|new|novel|overbold|refreshed|refreshful|refreshing|reinvigorated|sassy|saucy|smart|sweet|tonic|unfermented|unused|wise,
11,attack,NNS,s,attack,approach|attack|attempt|blast|fire|flack|flak|onrush|onset|onslaught|plan of attack|tone-beginning,operation|military operation|turn|play|criticism|unfavorable judgment|conceptualization|conceptualisation|formulation|crime|criminal offense|criminal offence|law-breaking|beginning|start|commencement|affliction|degeneration|devolution
11,north,NN,NA,north,compass north|due north|Frederick North|magnetic north|N|north|North|northward|Second Earl of Guilford|Union,cardinal compass point|location|direction
11,julius,NNP,NA,juliu,,NA
11,caesar,NNP,NA,caesar,Caesar|Gaius Julius Caesar|Julius Caesar|Sid Caesar|Sidney Caesar,
11,take,VBD,ed,take,accept|acquire|admit|adopt|aim|ask|assume|bring|call for|carry|charter|choose|claim|conduct|consider|consume|contain|contract|convey|deal|demand|direct|drive|engage|exact|fill|film|get|get hold of|guide|have|hire|hold|ingest|involve|lead|learn|lease|look at|make|necessitate|need|occupy|pack|pick out|postulate|read|remove|rent|require|select|shoot|strike|study|submit|subscribe|subscribe to|take|take aim|take away|take in|take on|take up|train|use up|withdraw,NA
11,charge,NN,NA,charg,accusation|armorial bearing|bang|bearing|billing|boot|burster|bursting charge|care|cathexis|charge|commission|complaint|direction|electric charge|explosive charge|flush|guardianship|heraldic bearing|kick|mission|rush|thrill|tutelage,attack|onslaught|onset|onrush|pleading|cost|electrical phenomenon|protection|assignment|duty assignment|dependant|dependent|liabilities|libidinal energy|exhilaration|excitement|request|asking|command|bid|bidding|dictation|assertion|averment|asseveration|heraldry|explosive
11,conquer,VBG,ing,conquer,appropriate|capture|conquer|seize|stamp down|subdue|suppress,control|hold in|hold|contain|check|curb|moderate|assume|usurp|seize|take over|arrogate|get the better of|overcome|defeat
11,practically,RB,NA,practic,much|practically,NA
11,whole,NN,NA,whole,unit|whole,concept|conception|construct|object|physical object
11,gaul,NNP,NA,gaul,frog|Gallia|Gaul,Frenchman|Frenchwoman|French person|Celt|Kelt
11,50,CD,NA,50,NA,NA
11,caesar,NNP,NA,caesar,Caesar|Gaius Julius Caesar|Julius Caesar|Sid Caesar|Sidney Caesar,
11,draw,VBD,ed,draw,absorb|attract|cast|delineate|depict|describe|disembowel|drag|draw|draw and quarter|draw in|draw off|eviscerate|get|get out|guide|imbibe|line|make|pass|puff|pull|pull back|pull in|pull out|quarter|reap|run|soak up|sop up|string|suck|suck up|take in|take out|take up|thread|tie|trace|withdraw,move|displace|derive|gain|mark|create by mental act|create mentally|remove|take|take away|withdraw|represent|interpret|set forth|expound|exposit|choose|select|pick out|arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke|inhale|inspire|breathe in|travel|go|locomote|effect|effectuate|set up|change|alter|modify|write|compose|pen|indite|create|close|shut|be|necessitate|ask|postulate|need|require|involve|call for|demand|kill|pull|draw|arrange|stretch|equal|match|equalize|equalise|equate|change shape|change form|deform|thin|steep|infuse|shape|form|localize|localise
11,gaul,NNP,NA,gaul,frog|Gallia|Gaul,Frenchman|Frenchwoman|French person|Celt|Kelt
11,s,VBZ,NA,NA,,NA
11,northeastern,JJ,NA,northeastern,northeast|northeasterly|northeastern,
11,frontier,NN,NA,frontier,frontier,wilderness|wild|boundary|bound|bounds|discipline|subject|subject area|subject field|field|field of study|study|bailiwick
11,rhine,NNP,NA,rhine,J. B. Rhine|Joseph Banks Rhine|Rhein|Rhine|Rhine River,
