clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,prehistoric,NNP,NA,prehistor,,NA
1,man,NN,NA,man,adult male|gentleman|gentleman's gentleman|homo|human|human being|human beings|human race|humanity|humankind|humans|Isle of Man|man|Man|mankind|military man|military personnel|piece|serviceman|valet|valet de chambre|world,male|male person|adult|grownup|skilled worker|trained worker|skilled workman|person|individual|someone|somebody|mortal|soul|hominid|subordinate|subsidiary|underling|foot soldier|manservant|body servant|lover|game equipment|homo|man|human being|human|group|grouping
1,asium,NNP,s,asium,,NA
1,minor,NNP,NA,minor,child|fry|kid|minor|nestling|nipper|shaver|small fry|tiddler|tike|tyke|youngster,juvenile|juvenile person
1,now,RB,NA,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
1,modern,JJ,NA,modern,advanced|forward-looking|innovative|mod|modern|Modern|modernistic|New,
1,turkey,NNP,NA,turkei,bomb|dud|joker|Meleagris gallopavo|Republic of Turkey|turkey|Turkey,domestic fowl|fowl|poultry|unpleasant person|disagreeable person|flop|bust|fizzle
1,greece,NNP,NA,greec,Ellas|Greece|Hellenic Republic,Balkan country|Balkan nation|Balkan state
1,look,VB,NA,look,appear|attend|await|bank|bet|calculate|count|depend|expect|face|front|look|reckon|rely|search|see|seem|swear|take care|wait,be|examine|see|lie|care|give care|convey|match|fit|correspond|check|jibe|gibe|tally|agree|trust
1,aegean,NNP,NA,aegean,Aegean|Aegean Sea,
1,horizon,NN,NA,horizon,apparent horizon|celestial horizon|horizon|purview|sensible horizon|skyline|view|visible horizon,line|scope|range|reach|orbit|compass|ambit|stratum|great circle
1,see,VB,NA,see,ascertain|assure|attend|catch|check|come across|consider|construe|control|date|determine|discover|encounter|ensure|envision|escort|examine|experience|fancy|figure|find|find out|get a line|get wind|get word|go out|go steady|go through|hear|image|insure|interpret|learn|look|meet|pick up|picture|project|realise|realize|reckon|regard|run across|run into|see|see to it|take care|take in|understand|view|visit|visualise|visualize|watch|witness,perceive|comprehend|experience|see|go through|imagine|conceive of|ideate|envisage|think|believe|consider|conceive|watch|verify|visit|call in|call|tour|care|give care|receive|take in|invite|consort|associate|affiliate|assort|debate|moot|turn over|deliberate|detect|observe|find|discover|notice|undergo|accompany|bet|wager|play|understand
1,faint,JJ,NA,faint,dim|faint|faint-hearted|fainthearted|feeble|light|light-headed|lightheaded|shadowy|swooning|timid|vague|weak|wispy,
1,silhouette,NN,NA,silhouett,silhouette,outline|lineation|drawing
1,land,NN,NA,land,acres|body politic|commonwealth|country|demesne|Din Land|domain|dry land|earth|Edwin Herbert Land|estate|farming|ground|kingdom|land|Land|landed estate|nation|realm|res publica|soil|solid ground|state|terra firma,real property|real estate|realty|immovable|object|physical object|region|administrative district|administrative division|territorial division|sphere|domain|area|orbit|field|arena|people|political unit|political entity|occupation|business|job|line of work|line
2,curiosity,NN,NA,curios,curio|curiosity|oddity|oddment|peculiarity|rarity|wonder,cognitive state|state of mind|object|physical object
2,push,VBD,ed,push,advertise|advertize|agitate|bear on|campaign|crowd|crusade|drive|fight|force|labor|labour|press|promote|push|tug,move|displace|urge|urge on|press|exhort|praise|fight|struggle|approach|near|come on|go up|draw near|draw close|come near|advertise|advertize|promote|push|deal|sell|trade|travel|go|locomote|force
2,build,VB,NA,build,build|build up|construct|establish|make|progress|ramp up|work up,make|create|develop|better|improve|amend|ameliorate|meliorate|oversee|supervise|superintend|manage|establish|base|ground|found|increase|intensify|deepen
2,vessel,NNS,s,vessel,vas|vessel|watercraft,tube|tube-shaped structure|craft|container
2,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,strong,JJ,NA,strong,firm|hard|impregnable|inviolable|potent|secure|solid|stiff|strong|substantial|unassailable|unattackable|warm,
2,enough,RB,NA,enough,enough|plenty,NA
2,ford,NN,NA,ford,crossing|Edsel Bryant Ford|ford|Ford|Ford Hermann Hueffer|Ford Madox Ford|fording|Gerald Ford|Gerald R. Ford|Gerald Rudolph Ford|Henry Ford|Henry Ford II|John Ford|President Ford,body of water|water|crossing
2,open,JJ,NA,open,assailable|candid|capable|clear|exposed|heart-to-heart|loose|open|open(a)|opened|overt|receptive|subject|undecided|undefendable|undefended|undetermined|unfastened|unresolved,
2,sea,NNS,s,sea,ocean|sea,body of water|water|large indefinite quantity|large indefinite amount|turbulent flow
2,reach,VB,NA,reach,accomplish|achieve|arrive at|attain|contact|extend to|gain|get hold of|get through|get to|give|hand|hit|make|pass|pass on|progress to|reach|reach out|strain|strive|touch|turn over,arrive|get|come|move|communicate|intercommunicate|succeed|win|come through|bring home the bacon|deliver the goods|be|achieve|accomplish|attain|reach|transfer|tug|labor|labour|push|drive
2,island,NNS,s,island,island,land|dry land|earth|ground|solid ground|terra firma|zone
2,mark,VBG,ing,mark,brand|check|check off|commemorate|cross off|cross out|denounce|differentiate|distinguish|grade|label|mark|mark off|nock|note|notice|pit|pock|punctuate|scar|score|set|stigmatise|stigmatize|strike off|strike out|tag|tick|tick off,attach|bespeak|betoken|indicate|point|signal|qualify|characterize|characterise|observe|celebrate|keep|change|alter|modify|label|deface|disfigure|blemish|notch|lay down|establish|make|record|enter|put down|take away|take out|verify|measure|evaluate|valuate|assess|appraise|value|add
2,start,NN,NA,start,beginning|commencement|first|get-go|head start|jump|kickoff|offset|outset|scratch|scratch line|showtime|start|starting|starting line|starting signal|starting time|startle,beginning|point|point in time|turn|play|reflex|reflex response|reflex action|instinctive reflex|innate reflex|inborn reflex|unconditioned reflex|physiological reaction|change of state|line|signal|signaling|sign|advantage|vantage
2,long,JJ,NA,long,farseeing|farsighted|foresighted|foresightful|long|longsighted|prospicient|recollective|retentive|tenacious,
2,legacy,NN,NA,legaci,bequest|legacy,gift|inheritance|heritage
2,mediterranean,NNP,NA,mediterranean,Mediterranean|Mediterranean Sea,
2,seafare,VBG,ing,seafar,,NA
3,7000,CD,NA,7000,NA,NA
3,phoenician,NNP,s,phoenician,Phoenician,Semite|Canaanitic|Canaanitic language
3,set,VBD,NA,set,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten
3,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
3,now,RB,NA,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
3,iran,NNP,NA,iran,Iran|Islamic Republic of Iran|Persia,
3,explore,VB,NA,explor,explore|research|search,investigate|look into|diagnose|name
3,surroundings,NNS,NA,surround,environment|environs|milieu|surround|surroundings,environment|geographical area|geographic area|geographical region|geographic region
4,eventually,RB,NA,eventu,eventually|finally,
4,reach,VBD,ed,reach,accomplish|achieve|arrive at|attain|contact|extend to|gain|get hold of|get through|get to|give|hand|hit|make|pass|pass on|progress to|reach|reach out|strain|strive|touch|turn over,arrive|get|come|move|communicate|intercommunicate|succeed|win|come through|bring home the bacon|deliver the goods|be|achieve|accomplish|attain|reach|transfer|tug|labor|labour|push|drive
4,island,NNS,s,island,island,land|dry land|earth|ground|solid ground|terra firma|zone
4,found,VBD,ed,found,base|constitute|establish|found|ground|institute|launch|plant|set up,open|open up|initiate|pioneer
4,colony,NNS,s,coloni,colony|Colony|dependency|settlement,body|biological group|geographical area|geographic area|geographical region|geographic region|place|property|animal group
4,island,NNS,s,island,island,land|dry land|earth|ground|solid ground|terra firma|zone
4,northernmost,NN,NA,northernmost,,NA
4,part,NN,NA,part,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item
4,aegean,NNP,NA,aegean,Aegean|Aegean Sea,
4,sea,NNP,NA,sea,ocean|sea,body of water|water|large indefinite quantity|large indefinite amount|turbulent flow
5,important,JJ,NA,import,authoritative|crucial|important|of import|significant,
5,early,JJ,NA,earli,early|early(a)|former(a)|other(a),
5,material,NN,NA,materi,cloth|fabric|material|stuff|textile,substance|information|info|artifact|artefact|equipment|applicant|applier
5,obsidian,NN,NA,obsidian,obsidian,volcanic glass
5,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
5,discover,VBN,ed,discov,attain|break|bring out|chance on|chance upon|come across|come upon|describe|detect|disclose|discover|distinguish|divulge|expose|fall upon|find|find out|get a line|get wind|get word|give away|happen upon|hear|identify|key|key out|learn|let on|let out|light upon|name|notice|observe|pick up|reveal|see|strike|uncover|unwrap,spy|sight|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|see|find|regain|tell
5,island,NN,NA,island,island,land|dry land|earth|ground|solid ground|terra firma|zone
5,milo,NNP,s,milo,milo|milo maize,grain sorghum
6,obsidian,NNP,NA,obsidian,obsidian,volcanic glass
6,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
6,hard,JJ,NA,hard,arduous|backbreaking|concentrated|difficult|grueling|gruelling|hard|heavy|intemperate|knockout|laborious|operose|punishing|severe|strong|surd|toilsome|tough|unvoiced|voiceless,
6,vitreous,JJ,NA,vitreou,glassy|vitreous|vitrified,
6,volcanic,JJ,NA,volcan,volcanic,
6,rock,NN,NA,rock,careen|John Rock|rock|Rock|rock 'n' roll|rock and roll|rock candy|rock music|rock-and-roll|rock'n'roll|stone|sway|tilt,natural object|material|stuff|good person|candy|confect|popular music|popular music genre|lurch|pitch|pitching
6,be,VB,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
6,fashion,VBN,ed,fashion,fashion|forge,make
6,tool,NNS,s,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member
