clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,history,NN,NA,histori,account|chronicle|history|story,past|past times|yesteryear|record|humanistic discipline|humanities|liberal arts|arts|continuum|cognition|knowledge|noesis
1,hawaius,NNP,s,hawaiu,,NA
1,read,VBZ,s,read,interpret|learn|read|record|register|say|scan|show|study|take|translate|understand,interpret|construe|see|have|feature|talk|speak|utter|mouth|verbalize|verbalise|predict|foretell|prognosticate|call|forebode|anticipate|promise|indicate|audition|try out|understand
1,story,NN,NA,stori,account|chronicle|fib|floor|history|level|narration|narrative|news report|report|storey|story|tale|taradiddle|tarradiddle|write up,message|content|subject matter|substance|fiction|structure|construction|record|news|lie|prevarication
1,mythical,JJ,NA,mythic,fabulous|mythic|mythical|mythologic|mythological,
1,kingdom,NN,NA,kingdom,kingdom|land|realm,sphere|domain|area|orbit|field|arena|country|state|land|demesne|monarchy|taxonomic group|taxonomic category|taxon|group|grouping
2,first,JJ,NA,first,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,
2,wave,NN,NA,wave,moving ridge|undulation|wafture|wave|Wave|waving,movement|motion|move|motility|rise|gesture|hairdo|hairstyle|hair style|coiffure|coif|curve|curved shape|weather|weather condition|conditions|atmospheric condition|reservist|woman|adult female
2,polynesian,NNP,NA,polynesian,Malayo-Polynesian|Polynesian,Austronesian|Austronesian language
2,settler,NNS,s,settler,colonist|settler,migrant|migrator|negotiator|negotiant|treater|clerk
2,cross,VBD,ed,cross,baffle|bilk|cover|cross|crossbreed|cut across|cut through|foil|frustrate|get across|get over|hybridise|hybridize|interbreed|intersect|pass over|queer|scotch|span|spoil|sweep|thwart|track|traverse,pass|meet|run into|encounter|run across|come across|see|prevent|forestall|foreclose|preclude|forbid|fold|fold up|turn up|cover|continue|extend|intersect|cross|write|breed
2,equator,NN,NA,equat,equator,great circle|circle
2,arrive,VBD,ed,arriv,arrive|come|get|get in|go far|make it,succeed|win|come through|bring home the bacon|deliver the goods
2,marquesa,NNP,s,marquesa,,NA
2,south,NNP,NA,south,Confederacy|Confederate States|Confederate States of America|Dixie|Dixieland|due south|S|south|South|southward,cardinal compass point|location|direction
2,pacific,NNP,NA,pacif,Pacific|Pacific Ocean,
2,perhap,RB,s,perhap,,NA
2,as,RB,NA,a,as|equally|every bit,
2,early,RB,NA,earli,ahead of time|betimes|early|early on|too soon,NA
2,400,CD,NA,400,NA,NA
3,immigrant,JJ,NA,immigr,,NA
3,voyage,NNS,s,voyag,ocean trip|voyage,water travel|seafaring|journey|journeying
3,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
3,breathtaking,JJ,NA,breathtak,breathless|breathtaking,
3,treacherous,JJ,NA,treacher,perfidious|punic|treacherous|unreliable,
3,require,VBG,ing,requir,ask|call for|command|demand|expect|involve|necessitate|need|postulate|require|take|want,demand|order|tell|enjoin|say|be
3,cross,VBG,ing,cross,baffle|bilk|cover|cross|crossbreed|cut across|cut through|foil|frustrate|get across|get over|hybridise|hybridize|interbreed|intersect|pass over|queer|scotch|span|spoil|sweep|thwart|track|traverse,pass|meet|run into|encounter|run across|come across|see|prevent|forestall|foreclose|preclude|forbid|fold|fold up|turn up|cover|continue|extend|intersect|cross|write|breed
3,2,CD,NA,2,NA,NA
3,500,CD,NA,500,NA,NA
3,mile,NNS,s,mile,Admiralty mile|air mile|geographical mile|international mile|international nautical mile|land mile|mi|mil|mile|naut mi|nautical mile|Roman mile|sea mile|stat mi|statute mile|Swedish mile,linear unit|linear measure|nautical linear unit|large indefinite quantity|large indefinite amount|track event
3,4,CD,NA,4,NA,NA
3,000,CD,NA,000,NA,NA
3,km,NN,NA,km,kilometer|kilometre|klick|km,metric linear unit
3,open,JJ,NA,open,assailable|candid|capable|clear|exposed|heart-to-heart|loose|open|open(a)|opened|overt|receptive|subject|undecided|undefendable|undefended|undetermined|unfastened|unresolved,
3,sea,NNS,s,sea,ocean|sea,body of water|water|large indefinite quantity|large indefinite amount|turbulent flow
3,dugout,NN,NA,dugout,bunker|dugout|dugout canoe|pirogue,shelter|canoe|fortification|munition
3,catamaran,NNS,s,catamaran,catamaran,boat
3,outrigger,NN,NA,outrigg,outrigger,stabilizer|stabiliser
3,canoe,NNS,s,cano,canoe,small boat
4,destination,NN,NA,destin,address|destination|finish|goal|name and address|terminus,end|terminal|goal|end|direction|instruction
4,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
4,even,RB,NA,even,even|still|yet,NA
4,more,JJR,NA,more,more than|more(a),
4,resplendent,NN,NA,resplend,,NA
4,forest,NNS,s,forest,forest|timber|timberland|wood|woodland|woods,vegetation|flora|botany|land|dry land|earth|ground|solid ground|terra firma|biome
4,paradise,NN,NA,paradis,Eden|heaven|nirvana|paradise|Paradise|promised land|Shangri-la,region|part|Heaven
4,see,VBP,NA,see,ascertain|assure|attend|catch|check|come across|consider|construe|control|date|determine|discover|encounter|ensure|envision|escort|examine|experience|fancy|figure|find|find out|get a line|get wind|get word|go out|go steady|go through|hear|image|insure|interpret|learn|look|meet|pick up|picture|project|realise|realize|reckon|regard|run across|run into|see|see to it|take care|take in|understand|view|visit|visualise|visualize|watch|witness,perceive|comprehend|experience|see|go through|imagine|conceive of|ideate|envisage|think|believe|consider|conceive|watch|verify|visit|call in|call|tour|care|give care|receive|take in|invite|consort|associate|affiliate|assort|debate|moot|turn over|deliberate|detect|observe|find|discover|notice|undergo|accompany|bet|wager|play|understand
4,today,NN,NA,todai,today,present|nowadays|day|twenty-four hours|twenty-four hour period|24-hour interval|solar day|mean solar day
4,hoary,JJ,NA,hoari,canescent|gray|gray-haired|gray-headed|grey|grey-haired|grey-headed|grizzly|hoar|hoary|rusty|white-haired,
4,bat,NNS,s,bat,at-bat|bat|chiropteran|cricket bat|squash racket|squash racquet,placental|placental mammal|eutherian|eutherian mammal|turn|play|racket|racquet|cricket equipment|club
4,monk,NN,NA,monk,monastic|monk|Monk|Thelonious Monk|Thelonious Sphere Monk,religious
4,seal,NNS,s,seal,cachet|Navy SEAL|seal|SEAL|seal of approval|sealing wax|sealskin|stamp,fastener|fastening|holdfast|fixing|device|fur|pelt|bluejacket|navy man|sailor|sailor boy|stamp|impression|award|accolade|honor|honour|laurels|coating|coat|pinniped mammal|pinniped|pinnatiped
4,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
4,only,JJ,NA,onli,alone(p)|lone(a)|lonesome(a)|only|only(a)|sole(a)|solitary(a),
