clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,popular,JJ,NA,popular,democratic|pop|popular,
1,mind,NN,NA,mind,brain|creative thinker|head|idea|intellect|judgement|judgment|mind|nous|psyche|thinker,cognition|knowledge|noesis|recall|recollection|reminiscence|opinion|sentiment|persuasion|view|thought|intellectual|intellect|notice|observation|observance|purpose|intent|intention|aim|design|intelligence
1,history,NN,NA,histori,account|chronicle|history|story,past|past times|yesteryear|record|humanistic discipline|humanities|liberal arts|arts|continuum|cognition|knowledge|noesis
1,hong,NNP,NA,hong,,NA
1,kong,NNP,NA,kong,,NA
1,long,JJ,NA,long,farseeing|farsighted|foresighted|foresightful|long|longsighted|prospicient|recollective|retentive|tenacious,
1,entryway,NN,NA,entrywai,entrance|entranceway|entree|entry|entryway,access|approach
1,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
1,westerner,NNPS,s,western,westerner,inhabitant|habitant|dweller|denizen|indweller
1,begin,VBZ,s,begin,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach
1,1841,CD,NA,1841,NA,NA
1,british,JJ,NA,british,British,
1,occupation,NN,NA,occup,business|job|line|line of work|military control|moving in|occupancy|occupation,activity|social control|acquiring|getting|time period|period of time|period
1,territory,NN,NA,territori,district|dominion|soil|territorial dominion|territory,region|area|geographical area|geographic area|geographical region|geographic region
2,however,RB,NA,howev,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
2,be,VB,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,wrong,JJ,NA,wrong,amiss(p)|awry(p)|faulty|haywire|ill-timed|improper|incorrect|unseasonable|untimely|wrong|wrong(p),
2,dismiss,VB,NA,dismiss,brush aside|brush off|can|discount|dismiss|displace|disregard|dissolve|drop|fire|force out|give notice|give the axe|give the sack|ignore|push aside|sack|send away|send packing|terminate|throw out|usher out,reject|displace|fire|give notice|can|dismiss|give the axe|send away|sack|force out|give the sack|terminate|remove|say farewell|change|alter|modify
2,long,JJ,NA,long,farseeing|farsighted|foresighted|foresightful|long|longsighted|prospicient|recollective|retentive|tenacious,
2,history,NN,NA,histori,account|chronicle|history|story,past|past times|yesteryear|record|humanistic discipline|humanities|liberal arts|arts|continuum|cognition|knowledge|noesis
2,region,NN,NA,region,area|neighborhood|part|realm|region,location|body part|indefinite quantity|knowledge domain|knowledge base|domain
3,archaeologist,NNP,s,archaeologist,archaeologist|archeologist,anthropologist
3,today,NN,NA,todai,today,present|nowadays|day|twenty-four hours|twenty-four hour period|24-hour interval|solar day|mean solar day
3,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
