clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,handful,NN,NA,hand,fistful|handful|smattering,small indefinite quantity|small indefinite amount|containerful
1,bronze,NNP,NA,bronz,bronze,copper-base alloy|sculpture
1,age,NNP,NA,ag,age|eld|geezerhood|historic period|long time|old age|years,property|era|epoch|time of life|time period|period of time|period
1,relic,NNS,s,relic,keepsake|relic|souvenir|token,antiquity|object|physical object
1,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,foster,VBN,ed,foster,foster|further|nurture,promote|advance|boost|further|encourage|rear|raise|bring up|nurture|parent
1,assumption,NN,NA,assumpt,assumption|Assumption|Assumption of Mary|August 15|effrontery|laying claim|premise|premiss|presumption|presumptuousness|supposal|supposition,postulate|posit|hypothesis|possibility|theory|acquisition|holy day of obligation|miracle|audacity|audaciousness|act|deed|human action|human activity
1,prehistoric,JJ,NA,prehistor,prehistoric|prehistorical,
1,settler,NNS,s,settler,colonist|settler,migrant|migrator|negotiator|negotiant|treater|clerk
1,inhabit,VBN,ed,inhabit,dwell|inhabit|live|populate,be|exist
1,ibiza,NNP,NA,ibiza,,NA
1,thousand,NNS,s,thousand,1000|chiliad|G|grand|K|M|one thousand|thou|thousand|yard,large integer
1,year,NNS,s,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
1,ago,RB,NA,ago,ago,NA
2,greater,NNP,NA,greater,,NA
2,evidence,NN,NA,evid,evidence|grounds,information|indication|indicant|info
2,such,JJ,NA,such,such(a),
2,people,NNS,NA,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
2,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,find,VBN,ed,find,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow
2,mallorca,NNP,NA,mallorca,,NA
2,menorca,NNP,NA,menorca,,NA
2,ibiza,NNP,NA,ibiza,,NA
2,one,CD,NA,on,NA,NA
2,balearic,NNP,s,balear,,NA
2,most,RBS,NA,most,about|almost|most|near|nearly|nigh|to the highest degree|virtually|well-nigh,NA
2,important,JJ,NA,import,authoritative|crucial|important|of import|significant,
2,site,NNS,s,site,internet site|land site|site|situation|web site|website,tract|piece of land|piece of ground|parcel of land|parcel|position|place|computer|computing machine|computing device|data processor|electronic computer|information processing system
2,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,actually,RB,NA,actual,actually|in reality|really,NA
2,island,NN,NA,island,island,land|dry land|earth|ground|solid ground|terra firma|zone
2,formentera,NNP,NA,formentera,,NA
2,megalithic,JJ,NA,megalith,megalithic,
2,monument,NN,NA,monument,memorial|monument|repository,structure|construction|site|land site|burial chamber|sepulcher|sepulchre|sepulture
2,/,NN,NA,/,,NA
2,tomb,NN,NA,tomb,grave|tomb,topographic point|place|spot
2,na,NNP,NA,na,atomic number 11|Na|sodium,metallic element|metal
2,costa,NNP,NA,costa,costa|rib,structure|anatomical structure|complex body part|bodily structure|body structure|bone|os
2,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
2,be,VBN,en,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,date,VBN,ed,date,date|date stamp|go out|go steady|see,go out|date|stamp|determine|set|consort|associate|affiliate|assort|supply|provide|render|furnish
2,2000,CD,NA,2000,NA,NA
2,ibiza,NNP,NA,ibiza,,NA
2,s,VBZ,NA,NA,,NA
2,key,JJ,NA,kei,cardinal|central|fundamental|key|primal,
2,location,NN,NA,locat,emplacement|fix|localisation|localization|locating|location|placement|position|positioning,object|physical object|activity|determination|finding|workplace|work
2,africa,NNP,NA,africa,Africa,
2,ancient,JJ,NA,ancient,ancient,
2,iberium,NNP,s,iberium,,NA
