clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,indium,NNP,s,indium,atomic number 49|In|indium,metallic element|metal
1,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,alway,RB,s,alwai,,NA
1,be,VBN,en,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
1,melange,NN,NA,melang,farrago|gallimaufry|hodgepodge|hotchpotch|melange|mingle-mangle|mishmash|oddments|odds and ends|omnium-gatherum|ragbag,assortment|mixture|mixed bag|miscellany|miscellanea|variety|salmagundi|smorgasbord|potpourri|motley
1,people,NNS,s,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
2,apart,RB,NA,apart,apart|aside|asunder,NA
2,pre-,NN,NA,pre-,,NA
2,ice,NNP,NA,ic,chalk|chicken feed|crank|deoxyephedrine|frappe|frosting|glass|ice|ICE|ice rink|ice-skating rink|icing|internal-combustion engine|meth|methamphetamine|methamphetamine hydrochloride|Methedrine|shabu|sparkler|trash|water ice,crystal|object|physical object|diamond|topping|frozen dessert|amphetamine|pep pill|upper|speed|controlled substance|heat engine|rink|skating rink
2,age,NNP,NA,ag,age|eld|geezerhood|historic period|long time|old age|years,property|era|epoch|time of life|time period|period of time|period
2,hominid,NNS,s,hominid,hominid,primate
2,first,JJ,NA,first,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,
2,settler,NNS,s,settler,colonist|settler,migrant|migrator|negotiator|negotiant|treater|clerk
2,arrive,VB,NA,arriv,arrive|come|get|get in|go far|make it,succeed|win|come through|bring home the bacon|deliver the goods
2,indium,NNP,s,indium,atomic number 49|In|indium,metallic element|metal
2,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,negrito,NNP,s,negrito,,NA
2,proto-,NNP,NA,proto-,,NA
2,australoid,NNP,s,australoid,,NA
3,migrant,NNP,s,migrant,migrant|migrator,traveler|traveller
3,mediterranean,NNP,NA,mediterranean,Mediterranean|Mediterranean Sea,
3,stock,NN,NA,stock,ancestry|blood|blood line|bloodline|breed|broth|caudex|descent|farm animal|fund|gillyflower|gunstock|inventory|line|line of descent|lineage|livestock|Malcolm stock|neckcloth|origin|parentage|pedigree|stemma|stock|stock certificate|store|strain,capital|working capital|merchandise|ware|product|handle|grip|handgrip|hold|support|security|certificate|accumulation|genealogy|family tree|variety|animal group|soup|repute|reputation|stalk|stem|plant part|plant structure|flower|lumber|timber|cravat|placental|placental mammal|eutherian|eutherian mammal
3,middle,NNP,NA,middl,center|centre|eye|heart|middle|midriff|midsection,area|country|part|section|division|region|point|point in time
3,east,NNP,NA,east,due east|E|east|East|eastern United States|eastward|Orient,cardinal compass point|direction|location
3,asium,NNP,s,asium,,NA
3,seem,VBP,NA,seem,appear|look|seem,be|appear|seem
3,have,VB,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
3,make,VBN,ed,make,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow
3,dravidian,NNP,s,dravidian,Dravidian|Dravidian language|Dravidic,Indian|natural language|tongue
3,now,RB,NA,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
3,principally,RB,NA,princip,chiefly|in the main|mainly|primarily|principally,
3,southern,JJ,NA,southern,southerly|southern,
3,peninsula,NN,NA,peninsula,peninsula,land|dry land|earth|ground|solid ground|terra firma
4,4000,CD,NA,4000,NA,NA
4,agriculturalist,NNS,s,agriculturalist,agriculturalist|agriculturist|cultivator|grower|raiser,farmer|husbandman|granger|sodbuster
4,make,VBD,ed,make,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow
4,first,JJ,NA,first,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,
4,appearance,NN,NA,appear,appearance|appearing|coming into court|show|visual aspect,quality|happening|occurrence|occurrent|natural event|attendance|attending|representation|mental representation|internal representation|arrival|pretense|pretence|pretending|simulation|feigning
4,up,RB,NA,up,up|upward|upwardly|upwards,NA
4,hill,NNS,s,hill,Alfred Hawthorne|Benny Hill|hill|Hill|J. J. Hill|James Jerome Hill|mound|pitcher's mound,natural elevation|elevation|structure|construction|baseball equipment
4,baluchistan,NNP,NA,baluchistan,,NA
4,northwest,RB,NA,northwest,nor'-west|north-west|northwest,NA
5,indus,NNP,NA,indu,Indus|Indus River,
5,river,NN,NA,river,river,stream|watercourse
5,valley,NN,NA,vallei,vale|valley,natural depression|depression
5,improve,VBN,ed,improv,ameliorate|amend|better|improve|meliorate,change|alter|modify|change state|turn
5,technique,NNS,s,techniqu,proficiency|technique,method|skillfulness
5,permit,VBD,ed,permit,allow|countenance|let|permit|tolerate,accept|consent|go for|permit|allow|let|countenance
5,storage,NN,NA,storag,computer memory|computer storage|depot|entrepot|memory|memory board|repositing|reposition|storage|store|storehouse|warehousing,retention|keeping|holding|depository|deposit|depositary|repository|commercial enterprise|business enterprise|business|computer operation|machine operation|memory device|storage device|hardware|computer hardware|deposition
5,wheat,NN,NA,wheat,pale yellow|straw|wheat|wheat berry,cereal|cereal grass|grain|food grain|yellow|yellowness
5,barley,NN,NA,barlei,barley|barleycorn,grain|food grain|cereal|cereal grass
5,daily,JJ,NA,daili,casual|daily|day-after-day|day-by-day|day-to-day|everyday,
5,need,NNS,s,need,demand|indigence|motivation|motive|need|pauperism|pauperization|penury|want,condition|status|necessity|essential|requirement|requisite|necessary|psychological feature|poverty|poorness|impoverishment
5,city,NNS,s,citi,city|metropolis|urban center,municipality|administrative district|administrative division|territorial division
5,harappa,NNP,NA,harappa,,NA
