clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,cre-,NNP,NA,cre-,,NA
1,loxp,NN,NA,loxp,,NA
1,site,NN,NA,site,internet site|land site|site|situation|web site|website,tract|piece of land|piece of ground|parcel of land|parcel|position|place|computer|computing machine|computing device|data processor|electronic computer|information processing system
1,specific,JJ,NA,specif,specific,
1,recombination,NN,NA,recombin,recombination,combining|combine|combining|combine
1,system,NN,NA,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
1,[,NN,NA,[,,NA
1,1,CD,NA,1,NA,NA
1,],NN,NA,],,NA
1,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
1,widely,RB,NA,wide,wide|widely,NA
1,use,VBN,ed,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
1,production,NN,NA,product,output|product|production|yield,act|deed|human action|human activity|presentation|creation|exhibition|indefinite quantity|display|industry|manufacture|creative activity
1,tissue-specific,JJ,NA,tissue-specif,,NA
1,conditional,JJ,NA,condit,conditional,
1,knockout,NN,NA,knockout,beauty|dish|kayo|knockout|KO|looker|lulu|mantrap|peach|ravisher|smasher|stunner|sweetheart,woman|adult female|blow
1,allele,NNS,s,allel,allele|allelomorph,gene|cistron|factor
1,mouse,NNS,s,mous,black eye|computer mouse|mouse|shiner,rodent|gnawer|bruise|contusion|person|individual|someone|somebody|mortal|soul|electronic device
1,[,NN,NA,[,,NA
1,2,CD,NA,2,NA,NA
1,3,CD,NA,3,NA,NA
1,],NN,NA,],,NA
2,recently,RB,NA,recent,late|lately|latterly|of late|recently,
2,cre-dependent,NNP,NA,cre-depend,,NA
2,lacz,NN,NA,lacz,,NA
2,reporter,NN,NA,report,newsman|newsperson|reporter,communicator
2,strain,NN,NA,strain,air|breed|form|line|melodic line|melodic phrase|melody|mental strain|nervous strain|nisus|pains|song|stock|strain|straining|stress|striving|tenor|tune|var.|variant,deformation|difficulty|music|nervousness|nerves|variety|animal group|taxonomic group|taxonomic category|taxon|injury|hurt|harm|trauma|meaning|substance|attempt|effort|endeavor|endeavour|try|elbow grease|exertion|travail|sweat|vocal music
2,r,NN,NA,r,gas constant|r|R|radius|roentgen|universal gas constant,radioactivity unit|constant|letter|letter of the alphabet|alphabetic character|length
