clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,november,NNP,NA,novemb,Nov|November,Gregorian calendar month
1,now,RB,NA,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
1,more,RBR,NA,more,more|to a greater extent,
1,ever,RB,NA,ever,always|e'er|ever|ever so|of all time,NA
1,girl,NNS,s,girl,daughter|female child|fille|girl|girlfriend|lady friend|little girl|miss|missy|young lady|young woman,woman|adult female|female|female person|female offspring|lover
1,need,VBP,NA,need,ask|call for|demand|involve|necessitate|need|postulate|require|take|want,NA
1,support,NN,NA,support,accompaniment|backing|backup|bread and butter|documentation|financial backing|financial support|funding|keep|livelihood|living|musical accompaniment|reenforcement|reinforcement|support|supporting|sustenance,activity|aid|assist|assistance|help|influence|operation|military operation|validation|proof|substantiation|resource|supporting structure|part|voice|device
1,help,VB,NA,help,aid|assist|avail|facilitate|help|help oneself|serve,support|back up|better|improve|amend|ameliorate|meliorate|serve|refrain|forbear|provide|supply|ply|cater|promote|advance|boost|further|encourage|exploit|work
1,dream,NNS,s,dream,ambition|aspiration|dream|dreaming|pipe dream,imagination|imaging|imagery|mental imagery|imaginativeness|vision|desire|fantasy|phantasy|reverie|revery|perfection|flawlessness|ne plus ultra
1,become,VBP,NA,becom,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
1,reality,NN,NA,realiti,realism|reality|realness|world,experience|actuality|materiality|physicalness|corporeality|corporality
2,generation,NN,NA,gener,coevals|contemporaries|generation|genesis|multiplication|propagation,people|biological group|time period|period of time|period|phase|stage|beginning|production|reproduction|procreation|breeding|facts of life
2,girl,NNS,s,girl,daughter|female child|fille|girl|girlfriend|lady friend|little girl|miss|missy|young lady|young woman,woman|adult female|female|female person|female offspring|lover
2,face,VBZ,s,face,confront|face|face up|front|look|present,set about|go about|approach|meet|encounter|play|take on|lie|be|turn|disclose|expose|uncover|line|cover
2,new,JJ,NA,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
2,challenge,NNS,s,challeng,challenge,situation|state of affairs|speech act|questioning|inquiring|objection|demand
3,new,JJ,NA,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
3,technology,NN,NA,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
3,new,JJ,NA,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
3,moral,JJ,NA,moral,moral,
3,issue,NNS,s,issu,consequence|effect|egress|emergence|event|exit|government issue|issuance|issue|issuing|matter|military issue|number|offspring|outcome|outlet|payoff|proceeds|progeny|publication|result|return|subject|take|takings|topic|upshot|way out|yield,content|cognitive content|mental object|periodical|provision|supply|supplying|store|stock|fund|income|phenomenon|relative|relation|beginning|opening|printing
3,new,JJ,NA,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
3,opportunity,NNS,s,opportun,chance|opportunity,possibility|possibleness
4,girl,NNP,NA,girl,daughter|female child|fille|girl|girlfriend|lady friend|little girl|miss|missy|young lady|young woman,woman|adult female|female|female person|female offspring|lover
4,scout,NNP,s,scout,guide|lookout|lookout man|pathfinder|picket|scout|Scout|sentinel|sentry|spotter|talent scout|watch,watchman|watcher|security guard|male child|boy|female child|girl|little girl|recruiter|expert
4,experience,NN,NA,experi,experience,education|content|cognitive content|mental object|happening|occurrence|occurrent|natural event
4,wide,JJ,NA,wide,across-the-board|all-embracing|all-encompassing|all-inclusive|blanket(a)|broad|encompassing|extensive|full|panoptic|spacious|wide|wide of the mark|wide-cut|wide-eyed,
4,range,NN,NA,rang,ambit|chain|chain of mountains|compass|cooking stove|grasp|image|kitchen range|kitchen stove|mountain chain|mountain range|orbit|range|range of a function|range of mountains|reach|scope|stove,extent|limit|tract|piece of land|piece of ground|parcel of land|parcel|geological formation|formation|facility|installation|assortment|mixture|mixed bag|miscellany|miscellanea|variety|salmagundi|smorgasbord|potpourri|motley|set|capability|capableness|potentiality|kitchen appliance
4,real,JJ,NA,real,actual|existent|genuine|literal|material|real|real(a)|substantial|tangible|veridical,
4,life,NN,NA,life,aliveness|animation|biography|life|life history|life sentence|life story|life-time|lifespan|lifetime|liveliness|living|spirit|sprightliness,being|beingness|existence|face of the earth|experience|time period|period of time|period|person|individual|someone|somebody|mortal|soul|animation|spiritedness|invigoration|brio|vivification|living thing|animate thing|organic phenomenon|history|account|chronicle|story|motivation|motive|need|prison term|sentence|time
4,skills--first,JJ,NA,skills--first,,NA
4,aid,NN,NA,aid,aid|assist|assistance|attention|care|economic aid|economic assistance|financial aid|financial assistance|help|tending,resource|activity|gift|work
4,resume,VB,NA,resum,re-start|restart|resume|sum up|summarise|summarize|take up,continue|uphold|carry on|bear on|preserve|change|assume|adopt|take on|take over|repeat|reiterate|ingeminate|iterate|restate|retell
4,write,VBG,ing,write,compose|drop a line|indite|pen|save|spell|write,create verbally|communicate|intercommunicate|correspond|make|create|trace|draw|line|describe|delineate|record|tape|create by mental act|create mentally
4,manage,VBG,ing,manag,bring off|care|carry off|contend|cope|deal|do|finagle|get by|grapple|handle|make do|make out|manage|negociate|oversee|pull off|superintend|supervise|wangle|wield,NA
4,money,NN,NA,monei,money,medium of exchange|monetary system|wealth|currency
5,also,RB,NA,also,also|as well|besides|likewise|too,NA
5,reap,VB,NA,reap,draw|glean|harvest|reap,gather|garner|collect|pull together|derive|gain
5,benefit,NNS,s,benefit,benefit|welfare,payment|good|goodness|performance|public presentation
5,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
5,difficult,JJ,NA,difficult,difficult|hard|unmanageable,
5,measure,VB,NA,measur,appraise|assess|evaluate|measure|measure out|mensurate|quantify|valuate|value,decide|make up one's mind|determine|carry|convey|express|be|evaluate|pass judgment|judge
5,include,VBG,ing,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
