clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,five,CD,NA,five,NA,NA
1,independent,JJ,NA,independ,autonomous|independent|main(a)|self-governing|sovereign,
1,salt,NNP,NA,salt,common salt|salinity|salt|SALT|saltiness|Strategic Arms Limitation Talks|table salt,compound|chemical compound|flavorer|flavourer|flavoring|flavouring|seasoner|seasoning|taste|taste sensation|gustatory sensation|taste perception|gustatory perception
1,lake,NNP,NA,lake,lake,body of water|water|pigment
1,organization,NNS,s,organ,administration|arrangement|brass|constitution|establishment|formation|governance|governing body|organisation|organization|system,social group|structure|body|administration|disposal|orderliness|methodicalness|activity|beginning|start|commencement
1,provide,VBP,NA,provid,allow|allow for|bring home the bacon|cater|furnish|leave|offer|ply|provide|put up|render|supply,give|stipulate|qualify|condition|specify|engage|wage|yield|afford|support|fix|prepare|set up|ready|gear up|set
1,legal,JJ,NA,legal,effectual|legal|sound,
1,service,NNS,s,servic,armed service|avail|divine service|help|inspection and repair|military service|overhaul|religious service|Robert William Service|serve|service|Service|service of process|servicing|serving|table service,work|aid|assist|assistance|help|religious ceremony|religious ritual|company|employment|force|personnel|helpfulness|tableware|coupling|mating|pairing|conjugation|union|sexual union|activity|tennis stroke|tennis shot|delivery|bringing|care|maintenance|upkeep|accommodation
1,poor,JJ,NA,poor,hapless|inadequate|jejune|miserable|misfortunate|pathetic|piteous|pitiable|pitiful|poor|short|wretched,
1,ethnic,JJ,NA,ethnic,cultural|ethnic|ethnical|heathen|heathenish|pagan,
1,minority,NNS,s,minor,minority|nonage,social group|number|figure|age|eld|legal status
1,senior,NNS,s,senior,elder|senior,undergraduate|undergrad|adult|grownup
1,people,NNS,NA,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
1,disability,NNS,s,disabl,disability|disablement|handicap|impairment,unfitness|softness
1,have,VBP,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,join,VBN,ed,join,conjoin|connect|fall in|get together|join|link|link up|unite,NA
1,together,RB,NA,togeth,in concert|together|unitedly,NA
1,acquire,VB,NA,acquir,acquire|adopt|assume|develop|evolve|gain|get|grow|larn|learn|produce|take|take on|win,change|situate|locate|get|acquire
1,west-side,JJ,NA,west-sid,,NA
1,downtown,NN,NA,downtown,business district|downtown,city district
1,building,NN,NA,build,building|construction|edifice,structure|construction|creating from raw materials|commercial enterprise|business enterprise|business|gathering|assemblage
1,have,VB,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,office,NNS,s,offic,agency|authority|berth|billet|bureau|business office|federal agency|function|government agency|office|office staff|part|place|position|post|power|role|situation|spot,place of business|business establishment|administrative unit|administrative body|duty|state|staff|rite|religious rite|occupation|business|job|line of work|line
2,new,JJ,NA,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
