clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,beat,VBP,NA,beat,amaze|baffle|beat|beat out|beat up|bewilder|bunk|circumvent|crush|drum|dumbfound|exhaust|flap|flummox|get|gravel|mystify|nonplus|outfox|outsmart|outwit|overreach|perplex|pose|pound|pulsate|puzzle|quiver|scramble|shell|stick|stupefy|thrum|thump|tick|ticktack|ticktock|trounce|tucker|tucker out|vanquish|vex|wash up|work over,get the better of|overcome|defeat|strike|move|shape|form|work|mold|mould|forge|sound|go|glare|displace|sail|agitate|vex|disturb|commove|shake up|stir up|raise up|be|cheat|rip off|chisel|make|create|play|beat|surpass|outstrip|outmatch|outgo|exceed|outdo|surmount|outperform|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate|tire|wear upon|tire out|wear|weary|jade|wear out|outwear|wear down|fag out|fag|fatigue
1,dog,NN,NA,dog,andiron|blackguard|bounder|cad|Canis familiaris|click|detent|dog|dog-iron|domestic dog|firedog|frank|frankfurter|frump|heel|hot dog|hotdog|hound|pawl|weenie|wiener|wienerwurst,canine|canid|domestic animal|domesticated animal|unpleasant woman|disagreeable woman|chap|fellow|feller|fella|lad|gent|blighter|cuss|bloke|villain|scoundrel|sausage|catch|stop|support
1,schuylkill,NNP,NA,schuylkil,,NA
1,county,NNP,NA,counti,county,region|part|administrative district|administrative division|territorial division
1,probably,RB,NA,probabl,believably|belike|credibly|in all likelihood|in all probability|likely|plausibly|probably,
1,get,VB,NA,get,acquire|aim|amaze|arrest|arrive|baffle|beat|become|beget|begin|bewilder|bring|bring forth|bugger off|buzz off|capture|catch|cause|come|commence|contract|convey|develop|draw|drive|dumbfound|engender|experience|father|fetch|find|fix|flummox|fuck off|generate|get|get down|get under one's skin|go|gravel|grow|have|incur|induce|let|make|mother|mystify|nonplus|obtain|pay back|pay off|perplex|pose|produce|puzzle|receive|scram|set about|set out|sire|start|start out|stick|stimulate|stupefy|suffer|sustain|take|vex,change state|turn|make|get|change|transmit|transfer|transport|channel|channelize|channelise|undergo|get even|get back|score|hit|tally|rack up|seize|prehend|clutch|sicken|come down|communicate|intercommunicate|alter|modify|mean|intend|understand|attract|pull|pull in|draw|draw in|acquire|buy|purchase|hear|hurt|ache|suffer|leave|go forth|go away|catch|annoy|rag|get to|bother|get at|irritate|rile|nark|nettle|gravel|vex|chafe|devil|touch|stir|reproduce|effect|effectuate|set up|destroy|ruin|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate|experience|receive|have|create
1,100,CD,NA,100,NA,NA
1,fine,NN,NA,fine,amercement|fine|mulct,penalty
2,repeatedly,RB,NA,repeatedli,repeatedly,
2,beat,VBP,NA,beat,amaze|baffle|beat|beat out|beat up|bewilder|bunk|circumvent|crush|drum|dumbfound|exhaust|flap|flummox|get|gravel|mystify|nonplus|outfox|outsmart|outwit|overreach|perplex|pose|pound|pulsate|puzzle|quiver|scramble|shell|stick|stupefy|thrum|thump|tick|ticktack|ticktock|trounce|tucker|tucker out|vanquish|vex|wash up|work over,get the better of|overcome|defeat|strike|move|shape|form|work|mold|mould|forge|sound|go|glare|displace|sail|agitate|vex|disturb|commove|shake up|stir up|raise up|be|cheat|rip off|chisel|make|create|play|beat|surpass|outstrip|outmatch|outgo|exceed|outdo|surmount|outperform|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate|tire|wear upon|tire out|wear|weary|jade|wear out|outwear|wear down|fag out|fag|fatigue
