clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,utah,NNP,NA,utah,Beehive State|Mormon State|UT|Ut.|Utah,
1,lawmaker,NNS,s,lawmak,lawgiver|lawmaker,leader
1,do,VBP,NA,do,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
1,not,RB,NA,not,non|not,NA
1,feel,VB,NA,feel,experience|feel|find|finger|palpate|sense,reason|reason out|conclude|perceive|comprehend|be|think|believe|consider|conceive|experience|see|go through|look|appear|seem|search|seek|look for|touch|find|regain
1,need,NN,NA,need,demand|indigence|motivation|motive|need|pauperism|pauperization|penury|want,condition|status|necessity|essential|requirement|requisite|necessary|psychological feature|poverty|poorness|impoverishment
1,appropriate,JJ,NA,appropri,appropriate,
1,money,NN,NA,monei,money,medium of exchange|monetary system|wealth|currency
1,poor,JJ,NA,poor,hapless|inadequate|jejune|miserable|misfortunate|pathetic|piteous|pitiable|pitiful|poor|short|wretched,
1,elderly,JJ,NA,elderli,aged|elderly|older|senior,
1,afford,VB,NA,afford,afford|give|open|yield,spend|expend|drop|supply|provide|render|furnish
1,quality,NN,NA,qualiti,caliber|calibre|character|lineament|quality|timber|timbre|tone,attribute|degree|grade|level|property|dimension|sound property|social station|social status|social rank|rank
1,legal,JJ,NA,legal,effectual|legal|sound,
1,care,NN,NA,care,aid|attention|care|caution|charge|concern|fear|forethought|guardianship|maintenance|precaution|tending|tutelage|upkeep,work|judiciousness|anxiety|predicament|quandary|plight|protection|repair|fix|fixing|fixture|mend|mending|reparation
2,perhap,RB,s,perhap,,NA
2,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,attorney,NNS,s,attornei,attorney|lawyer,professional|professional person
2,spur,VBN,ed,spur,goad|spur,promote|advance|boost|further|encourage|strike|goad|equip|fit|fit out|outfit
2,campaign,NNS,s,campaign,campaign|cause|crusade|drive|effort|hunting expedition|military campaign|movement|political campaign|run|safari,race|venture|operation|military operation|expedition
2,such,JJ,NA,such,such(a),
2,annual,JJ,NA,annual,annual|one-year|yearly,
2,one,CD,NA,on,NA,NA
2,call,VBN,ed,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse
2,justice,NNP,NA,justic,Department of Justice|DoJ|judge|jurist|justice|Justice|Justice Department|justness,righteousness|natural virtue|judgment|judgement|assessment|official|functionary|adjudicator|executive department
2,have,VBP,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
2,be,VBN,en,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,unusually,RB,NA,unusu,notably|remarkably|unco|unusually,
2,generous,JJ,NA,gener,generous,
2,recent,JJ,NA,recent,late(a)|recent,
2,year,NNS,s,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
2,donate,VBG,ing,donat,donate,give|gift|present
2,money,NN,NA,monei,money,medium of exchange|monetary system|wealth|currency
2,purpose,NN,NA,purpos,aim|design|determination|function|intent|intention|purpose|role|use,goal|end|utility|usefulness|resoluteness|firmness|firmness of purpose|resolve|resolution
3,need,NN,NA,need,demand|indigence|motivation|motive|need|pauperism|pauperization|penury|want,condition|status|necessity|essential|requirement|requisite|necessary|psychological feature|poverty|poorness|impoverishment
3,keep,VBZ,s,keep,celebrate|continue|go along|go on|hold|hold back|hold on|hold open|keep|keep back|keep on|keep open|maintain|observe|preserve|prevent|proceed|restrain|retain|save|stay fresh|sustain,act|move|have|have got|hold|record|enter|put down|lodge|accommodate|prolong|sustain|keep up|stay|remain|rest|protect|grow|raise|farm|produce|reserve|book|store|confine|detain|cook|fix|ready|make|prepare
3,grow,VBG,ing,grow,acquire|arise|develop|farm|get|grow|maturate|mature|originate|produce|raise|rise|spring up|turn|uprise,change|increase|develop|make grow|become|cultivate
3,larger,JJR,NA,larger,bigger|larger,
3,mean,VBZ,s,mean,entail|have in mind|imply|intend|mean|signify|stand for|think|think of,NA
3,attorney,NNS,s,attornei,attorney|lawyer,professional|professional person
3,other,NNS,s,other,,NA
3,means,NNS,NA,mean,agency|means|substance|way,implementation|effectuation|instrumentality|instrumentation|capital
3,have,VBP,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
3,greater,JJR,NA,greater,greater,
3,obligation,NN,NA,oblig,certificate of indebtedness|debt instrument|duty|indebtedness|obligation|responsibility,social control|state|personal relation|personal relationship|document|written agreement
3,help,VB,NA,help,aid|assist|avail|facilitate|help|help oneself|serve,support|back up|better|improve|amend|ameliorate|meliorate|serve|refrain|forbear|provide|supply|ply|cater|promote|advance|boost|further|encourage|exploit|work
4,year,NN,NA,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
4,justice,NNP,NA,justic,Department of Justice|DoJ|judge|jurist|justice|Justice|Justice Department|justness,righteousness|natural virtue|judgment|judgement|assessment|official|functionary|adjudicator|executive department
4,campaign,NN,NA,campaign,campaign|cause|crusade|drive|effort|hunting expedition|military campaign|movement|political campaign|run|safari,race|venture|operation|military operation|expedition
4,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
4,suffer,VBG,ing,suffer,abide|ache|bear|brook|digest|endure|get|have|hurt|lose|meet|put up|stand|stick out|stomach|suffer|support|sustain|tolerate,experience|see|go through|receive|have|get|feel|permit|allow|let|countenance|worsen|decline|be|perceive|comprehend|tend|be given|lean|incline|run
4,same,JJ,NA,same,like|same|same(p),
4,problem,NNS,s,problem,job|problem|trouble,difficulty|question|head
4,face,VBG,ing,face,confront|face|face up|front|look|present,set about|go about|approach|meet|encounter|play|take on|lie|be|turn|disclose|expose|uncover|line|cover
4,other,JJ,NA,other,early(a)|former(a)|other|other(a),
4,charitable,JJ,NA,charit,benevolent|charitable|good-hearted|kindly|large-hearted|openhearted|sympathetic,
4,organization,NNS,s,organ,administration|arrangement|brass|constitution|establishment|formation|governance|governing body|organisation|organization|system,social group|structure|body|administration|disposal|orderliness|methodicalness|activity|beginning|start|commencement
4,terrorist,JJ,NA,terrorist,,NA
4,attack,NNS,s,attack,approach|attack|attempt|blast|fire|flack|flak|onrush|onset|onslaught|plan of attack|tone-beginning,operation|military operation|turn|play|criticism|unfavorable judgment|conceptualization|conceptualisation|formulation|crime|criminal offense|criminal offence|law-breaking|beginning|start|commencement|affliction|degeneration|devolution
4,september,NNP,NA,septemb,Sep|Sept|September,Gregorian calendar month
4,11,CD,NA,11,NA,NA
5,individual,NNP,NA,individu,individual|mortal|person|somebody|someone|soul,organism|being|causal agent|cause|causal agency
5,corporate,JJ,NA,corpor,bodied|collective|corporal|corporate|embodied|incarnate|incorporated,
5,donation,NNS,s,donat,contribution|donation,gift|giving
5,remain,VBP,NA,remain,continue|persist|remain|rest|stay|stay on,be
5,strong,JJ,NA,strong,firm|hard|impregnable|inviolable|potent|secure|solid|stiff|strong|substantial|unassailable|unattackable|warm,
5,so,RB,NA,so,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
5,far,RB,NA,far,far,NA
5,large,JJ,NA,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
5,organization,NN,NA,organ,administration|arrangement|brass|constitution|establishment|formation|governance|governing body|organisation|organization|system,social group|structure|body|administration|disposal|orderliness|methodicalness|activity|beginning|start|commencement
5,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
5,step,VBN,ed,step,abuse|ill-treat|ill-use|maltreat|mistreat|pace|step|tread,travel|go|move|locomote|run|execute|treat|handle|do by|supply|provide|render|furnish|walk|put|set|place|pose|position|lay|quantify|measure
