clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,illinoi,NNP,s,illinoi,,NA
1,supreme,NNP,NA,suprem,,NA
1,court,NNP,NA,court,court|Court|court of justice|court of law|courtroom|courtyard|homage|judicature|law court|lawcourt|Margaret Court|motor hotel|motor inn|motor lodge|royal court|tourist court|tribunal,assembly|room|government|authorities|regime|playing field|athletic field|playing area|field|cortege|retinue|suite|entourage|hotel|court|tribunal|judicature|residence|area|deference|respect
1,friday,NNP,NA,fridai,Fri|Friday,weekday
1,hike,VBN,ed,hike,boost|hike|hike up,raise|lift|elevate|get up|bring up|walk
1,attorney,NN,NA,attornei,attorney|lawyer,professional|professional person
1,registration,NN,NA,registr,adjustment|enrollment|enrolment|readjustment|registration,entrance|entering|entry|ingress|incoming|body|certificate|certification|credential|credentials|sound property|calibration|standardization|standardisation
1,fee,NNS,s,fee,fee,fixed charge|fixed cost|fixed costs|interest|stake
1,49,CD,NA,49,NA,NA
1,year,NN,NA,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
1,boost,VB,NA,boost,advance|boost|encourage|further|hike|hike up|promote|supercharge,raise|lift|elevate|get up|bring up|increase|support|back up|thrust
1,legal,JJ,NA,legal,effectual|legal|sound,
1,aid,NN,NA,aid,aid|assist|assistance|attention|care|economic aid|economic assistance|financial aid|financial assistance|help|tending,resource|activity|gift|work
1,service,NNS,s,servic,armed service|avail|divine service|help|inspection and repair|military service|overhaul|religious service|Robert William Service|serve|service|Service|service of process|servicing|serving|table service,work|aid|assist|assistance|help|religious ceremony|religious ritual|company|employment|force|personnel|helpfulness|tableware|coupling|mating|pairing|conjugation|union|sexual union|activity|tennis stroke|tennis shot|delivery|bringing|care|maintenance|upkeep|accommodation
1,support,NN,NA,support,accompaniment|backing|backup|bread and butter|documentation|financial backing|financial support|funding|keep|livelihood|living|musical accompaniment|reenforcement|reinforcement|support|supporting|sustenance,activity|aid|assist|assistance|help|influence|operation|military operation|validation|proof|substantiation|resource|supporting structure|part|voice|device
1,lawyer,NNS,s,lawyer,attorney|lawyer,professional|professional person
1,drug,NN,NA,drug,drug,agent
1,alcohol,NN,NA,alcohol,alcohol|alcoholic beverage|alcoholic drink|inebriant|intoxicant,beverage|drink|drinkable|potable|drug of abuse|street drug|liquid
1,problem,NNS,s,problem,job|problem|trouble,difficulty|question|head
2,high,JJ,NA,high,eminent|gamey|gamy|high|high-pitched|in high spirits|mellow,
2,court,NN,NA,court,court|Court|court of justice|court of law|courtroom|courtyard|homage|judicature|law court|lawcourt|Margaret Court|motor hotel|motor inn|motor lodge|royal court|tourist court|tribunal,assembly|room|government|authorities|regime|playing field|athletic field|playing area|field|cortege|retinue|suite|entourage|hotel|court|tribunal|judicature|residence|area|deference|respect
2,order,NN,NA,order,club|decree|edict|fiat|gild|guild|Holy Order|lodge|monastic order|order|Order|order of magnitude|ordering|orderliness|ordination|parliamentary law|parliamentary procedure|purchase order|rescript|rules of order|social club|society,command|bid|bidding|dictation|magnitude|state|arrangement|condition|status|act|enactment|commercial document|commercial instrument|association|rule|prescript|position|sect|religious sect|religious order|taxonomic group|taxonomic category|taxon|request|asking|artistic style|idiom|organization|organisation
2,base,NN,NA,base,al Qaeda|al Qaida|al-Qa'ida|al-Qaeda|al-Qaida|alkali|bag|base|Base|base of operations|basis|cornerstone|floor|foot|foundation|fundament|groundwork|home|infrastructure|nucleotide|pedestal|Qaeda|radical|radix|root|root word|stand|stem|substructure|theme|understructure,military installation|support|baseball equipment|part|piece|bottom|control|assumption|supposition|supposal|ester|compound|chemical compound|flank|portion|component part|component|constituent|number|location|form|word form|signifier|descriptor|store|stock|fund|ingredient|underside|undersurface|electrode
2,annual,JJ,NA,annual,annual|one-year|yearly,
2,fee,NN,NA,fee,fee,fixed charge|fixed cost|fixed costs|interest|stake
2,active,JJ,NA,activ,active|alive(p)|combat-ready|dynamic|fighting(a)|participating,
2,lawyer,NNS,s,lawyer,attorney|lawyer,professional|professional person
2,rise,VBZ,s,rise,arise|ascend|climb|climb up|come up|develop|get up|go up|grow|heighten|jump|lift|mount|move up|originate|prove|rear|rebel|resurrect|rise|rise up|spring up|stand up|surface|turn out|uprise|wax,NA
2,229,CD,NA,229,NA,NA
2,january,NNP,NA,januari,Jan|January,Gregorian calendar month
3,last,JJ,NA,last,concluding|final|last|last-place|last(a)|lowest|net|terminal|utmost,
3,year,NN,NA,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
3,high,JJ,NA,high,eminent|gamey|gamy|high|high-pitched|in high spirits|mellow,
3,court,NN,NA,court,court|Court|court of justice|court of law|courtroom|courtyard|homage|judicature|law court|lawcourt|Margaret Court|motor hotel|motor inn|motor lodge|royal court|tourist court|tribunal,assembly|room|government|authorities|regime|playing field|athletic field|playing area|field|cortege|retinue|suite|entourage|hotel|court|tribunal|judicature|residence|area|deference|respect
3,raise,VBD,ed,rais,advance|arouse|bring up|call down|call forth|conjure|conjure up|elevate|elicit|enhance|enkindle|erect|evoke|farm|fire|get up|grow|heighten|invoke|kick upstairs|kindle|leaven|levy|lift|nurture|parent|produce|promote|prove|provoke|put forward|put up|raise|rear|recruit|resurrect|set up|stir|upgrade|upraise,increase|move|displace|express|verbalize|verbalise|utter|give tongue to|collect|take in|cultivate|call up|summon|construct|build|make|create|change|alter|modify|intensify|compound|heighten|deepen|delegate|designate|depute|assign|raise|lift|elevate|get up|bring up|bid|call|bet|wager|play|enlist|draft|muster in|mention|advert|cite|name|refer|pronounce|articulate|enounce|sound out|enunciate|say|incite|instigate|set off|stir up|reach|get through|get hold of|contact|multiply|bring out|better|improve|amend|ameliorate|meliorate|end|terminate|resuscitate|revive
3,fee,NN,NA,fee,fee,fixed charge|fixed cost|fixed costs|interest|stake
3,180,CD,NA,180,NA,NA
3,140,CD,NA,140,NA,NA
4,lawyer,NNS,s,lawyer,attorney|lawyer,professional|professional person
4,first,JJ,NA,first,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,
4,three,CD,NA,three,NA,NA
4,year,NNS,s,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
4,practice,NN,NA,practic,drill|exercise|pattern|practice|practice session|praxis|recitation,activity|training|preparation|grooming|implementation|effectuation|use|usage|utilization|utilisation|employment|exercise|cognition|knowledge|noesis
4,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
4,inactive,JJ,NA,inact,dormant|inactive|motionless|nonoperational|passive|static|still,
4,wish,VBP,NA,wish,bid|care|like|wish|wish well,desire|want|express|verbalize|verbalise|utter|give tongue to|order|greet|recognize|recognise
4,remain,VB,NA,remain,continue|persist|remain|rest|stay|stay on,be
