clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,anthem,NNP,NA,anthem,anthem|hymn,song|vocal|religious song
1,payout,NN,NA,payout,,NA
1,pose,NNP,s,pose,affectation|affectedness|airs|mannerism|pose,affectedness|position|posture|attitude|pretense|pretence|pretending|simulation|feigning
1,problem,NNP,NA,problem,job|problem|trouble,difficulty|question|head
1,poorest,JJS,NA,poorest,,NA
1,policyholder,NNP,s,policyhold,policyholder,customer|client|holder
1,lose,VB,NA,lose,lose|miss|suffer|turn a loss,NA
1,medicaid,NNP,NA,medicaid,Medicaid,health care
1,other,JJ,NA,other,early(a)|former(a)|other|other(a),
1,benefit,NNP,s,benefit,benefit|welfare,payment|good|goodness|performance|public presentation
1,have,VB,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,seem,VBN,ed,seem,appear|look|seem,be|appear|seem
1,manna,NN,NA,manna,manna|manna from heaven|miraculous food,sap|food|nutrient
1,heaven,NN,NA,heaven,Eden|heaven|Heaven|nirvana|paradise|promised land|Shangri-la,region|part|imaginary place|mythical place|fictitious place
2,thousand,NNS,s,thousand,1000|chiliad|G|grand|K|M|one thousand|thou|thousand|yard,large integer
2,dollar,NNS,s,dollar,buck|clam|dollar|dollar bill|dollar mark|dollar sign|one dollar bill,monetary unit|bill|note|government note|bank bill|banker's bill|bank note|banknote|Federal Reserve note|greenback|coin|symbol
2,drop,VBG,ing,drop,cast|cast off|cut down|dangle|degenerate|deteriorate|devolve|discharge|dismiss|dribble|drip|drop|drop down|drop off|expend|fell|flatten|knock off|leave out|miss|neglect|omit|overleap|overlook|pretermit|put down|send away|send packing|set down|shake off|shed|sink|spend|strike down|swing|throw|throw away|throw off|unload,move|displace|descend|fall|go down|come down|decline|wane|change posture|remove|express|verbalize|verbalise|utter|give tongue to|discontinue|stop|cease|give up|quit|lay off|deliver|cut|lose|pay|change|alter|modify|hang|fire|give notice|can|dismiss|give the axe|send away|sack|force out|give the sack|terminate|pour|take|take away|withdraw|drug|do drugs|elide|worsen|give birth|bear|birth|have
2,often,RB,NA,often,a great deal|frequently|much|oft|often|oftentimes|ofttimes,NA
2,unexpectedly,RB,NA,unexpectedli,accidentally|by chance|circumstantially|out of the blue|unexpectedly,
2,hand,NNS,s,hand,bridge player|deal|hand|handwriting|helping hand|hired hand|hired man|manus|mitt|paw|script,extremity|laborer|manual laborer|labourer|jack|writing|ability|power|side|collection|aggregation|accumulation|assemblage|pointer|handbreadth|handsbreadth|sailor|crewman|card player|applause|hand clapping|clapping|forepaw|aid|assist|assistance|help
2,half-million,JJ,NA,half-million,,NA
2,kentucky,NNP,NA,kentucki,Bluegrass State|Ken.|Kentucky|KY,
2,indiana,NNP,NA,indiana,Hoosier State|IN|Ind.|Indiana|Robert Indiana,artist|creative person
2,resident,NNS,s,resid,house physician|occupant|occupier|resident|resident physician,inhabitant|habitant|dweller|denizen|indweller|doctor|doc|physician|MD|Dr.|medico
2,month,NN,NA,month,calendar month|month,time period|period of time|period|time unit|unit of time
3,recipient,NNS,s,recipi,receiver|recipient|recipient role,acquirer|semantic role|participant role
3,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
3,downside,NN,NA,downsid,downside,side
3,check,NNS,s,check,arrest|assay|balk|bank check|baulk|bridle|check|check mark|check-out procedure|checkout|cheque|chip|chit|confirmation|curb|deterrent|halt|handicap|hinderance|hindrance|hitch|impediment|stay|stop|stoppage|substantiation|tab|tick|verification,draft|bill of exchange|order of payment|appraisal|assessment|bill|account|invoice|inaction|inactivity|inactiveness|proof|cogent evidence|inspection|review|mark|difficulty|blemish|defect|mar|weave|restraint|obstruction|chess move
3,anthem,NNP,NA,anthem,anthem|hymn,song|vocal|religious song
3,inc,NNP,NA,inc,INC|Iraqi National Congress,opposition
3,issue,VBN,ed,issu,bring out|come forth|come out|cut|egress|emerge|go forth|issue|make out|publish|put out|release|supply|write out,publicize|publicise|air|bare|distribute|communicate|intercommunicate|write
3,policyholder,NNS,s,policyhold,policyholder,customer|client|holder
3,part,NN,NA,part,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item
3,insurer,NN,NA,insur,insurance company|insurance firm|insurance underwriter|insurer|underwriter,nondepository financial institution
3,conversion,NN,NA,convers,changeover|conversion|rebirth|spiritual rebirth|transition,transformation|transmutation|shift|calculation|computation|figuring|reckoning|score|redemption|salvation|defense mechanism|defense reaction|defence mechanism|defence reaction|defense|defence|change|alteration|modification|rhetorical device|exchange|interchange
3,publicly,RB,NA,publicli,in public|publically|publicly,
3,trade,VBN,ed,trade,deal|merchandise|sell|swap|switch|swop|trade|trade in,exchange|change|interchange|sell|transact
3,company,NN,NA,compani,caller|companionship|company|fellowship|party|ship's company|society|troupe,institution|establishment|army unit|friendship|friendly relationship|organization|organisation|visitor|visitant|social gathering|social affair|set|circle|band|lot|complement|full complement|unit|social unit
4,poorest,JJS,NA,poorest,,NA
4,recipient,NNS,s,recipi,receiver|recipient|recipient role,acquirer|semantic role|participant role
4,actually,RB,NA,actual,actually|in reality|really,NA
4,suffer,VB,NA,suffer,abide|ache|bear|brook|digest|endure|get|have|hurt|lose|meet|put up|stand|stick out|stomach|suffer|support|sustain|tolerate,experience|see|go through|receive|have|get|feel|permit|allow|let|countenance|worsen|decline|be|perceive|comprehend|tend|be given|lean|incline|run
4,windfall,NN,NA,windfal,bonanza|boom|bunce|godsend|gold rush|gravy|manna from heaven|windfall,edible fruit|happening|occurrence|occurrent|natural event
4,lose,VBG,ing,lose,lose|miss|suffer|turn a loss,NA
4,benefit,NNS,s,benefit,benefit|welfare,payment|good|goodness|performance|public presentation
4,medicaid,NNP,NA,medicaid,Medicaid,health care
4,food-stamp,JJ,NA,food-stamp,,NA
4,other,JJ,NA,other,early(a)|former(a)|other|other(a),
4,program,NNS,s,program,broadcast|computer program|computer programme|course of study|curriculum|plan|platform|political platform|political program|program|programme|syllabus,idea|thought|system|system of rules|show|document|written document|papers|announcement|promulgation|information|info|software|software program|computer software|software system|software package|package|performance
5,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
5,suddenly,RB,NA,suddenli,abruptly|all of a sudden|dead|of a sudden|on the spur of the moment|short|suddenly,NA
5,have,VBP,NA,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
5,more,JJR,NA,more,more than|more(a),
5,money,NN,NA,monei,money,medium of exchange|monetary system|wealth|currency
5,eligibility,NN,NA,elig,eligibility,qualification|making
5,threshold,NN,NA,threshold,brink|door|doorsill|doorstep|doorway|limen|room access|threshold|verge,beginning|commencement|first|outset|get-go|start|kickoff|starting time|showtime|offset|sensation|esthesis|aesthesis|sense experience|sense impression|sense datum|entrance|entranceway|entryway|entry|entree|sill|boundary|edge|bound
5,aid,NN,NA,aid,aid|assist|assistance|attention|care|economic aid|economic assistance|financial aid|financial assistance|help|tending,resource|activity|gift|work
6,avoid,VB,NA,avoid,annul|avert|avoid|debar|deflect|fend off|forefend|forfend|head off|invalidate|keep off|nullify|obviate|quash|stave off|void|ward off,prevent|forestall|foreclose|preclude|forbid|abstain|refrain|desist|cancel|strike down
6,lose,VBG,ing,lose,lose|miss|suffer|turn a loss,NA
6,valuable,JJ,NA,valuabl,valuable|worthful,
6,benefit,NNS,s,benefit,benefit|welfare,payment|good|goodness|performance|public presentation
6,such,JJ,NA,such,such(a),
6,medicaid-paid,NNP,NA,medicaid-paid,,NA
6,spot,NN,NA,spot,berth|billet|bit|blot|dapple|daub|fleck|maculation|office|patch|pip|place|point|position|post|situation|slur|smear|smirch|smudge|speckle|spot|spotlight|stain|topographic point|touch,point|section|subdivision|characteristic|blemish|defect|mar|marking|place of business|business establishment|occupation|business|job|line of work|line|attack|small indefinite quantity|small indefinite amount|marker|mark|lamp|playing card|mistake|error|fault
6,nursing,NN,NA,nurs,breast feeding|nursing,care|attention|aid|tending|health profession|infant feeding
6,home,NN,NA,home,abode|base|domicile|dwelling|dwelling house|family|habitation|home|home base|home plate|house|household|menage|nursing home|place|plate|rest home,residence|abode|housing|lodging|living accommodations|location|base|bag|beginning|origin|root|rootage|source|environment|unit|social unit|institution
6,recipient,NNS,s,recipi,receiver|recipient|recipient role,acquirer|semantic role|participant role
6,need,VB,NA,need,ask|call for|demand|involve|necessitate|need|postulate|require|take|want,NA
6,spend,VB,NA,spend,drop|expend|pass|spend,pay|consume|eat up|use up|eat|deplete|exhaust|run through|wipe out
6,money,NN,NA,monei,money,medium of exchange|monetary system|wealth|currency
6,fast,RB,NA,fast,fast|tight,NA
7,as,RB,NA,a,as|equally|every bit,
7,early,RB,NA,earli,ahead of time|betimes|early|early on|too soon,NA
7,end,NN,NA,end,close|closing|conclusion|death|destruction|end|ending|goal|last|oddment|remainder|remnant|terminal,extremity|point|point in time|ending|conclusion|finish|content|cognitive content|mental object|part|section|division|state|surface|lineman|boundary|bound|bounds|topographic point|place|spot|contribution|share|subdivision|piece of cloth|piece of material
7,month,NN,NA,month,calendar month|month,time period|period of time|period|time unit|unit of time
8,make,VB,NA,make,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow
8,sure,JJ,NA,sure,certain|certain(p)|indisputable|sure|trusted,
8,do,VBP,NA,do,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
8,way,NN,NA,wai,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage
