clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,conservative,NNS,s,conserv,conservative|Conservative|conservativist,adult|grownup|member|fellow member
1,congress,NNP,NA,congress,coming together|congress|Congress|meeting|U.S. Congress|United States Congress|US Congress,legislature|legislative assembly|legislative body|general assembly|law-makers|meeting|group meeting|assembly|assemblage|gathering
1,gutted,JJ,NA,gut,,NA
1,national,NNP,NA,nation,national|subject,person|individual|someone|somebody|mortal|soul
1,endowment,NNP,NA,endow,endowment|endowment fund|gift|natural endowment|talent,natural ability|capital|giving|gift
1,art,NNP,s,art,art|artistic creation|artistic production|artistry|artwork|fine art|graphics|nontextual matter|prowess,creation|creative activity|superior skill|visual communication
1,predict,VBD,ed,predict,anticipate|augur|auspicate|betoken|bode|call|forebode|forecast|foreshadow|foretell|omen|portend|predict|prefigure|presage|prognosticate|promise,guess|venture|pretend|hazard|bespeak|betoken|indicate|point|signal
1,art,NN,NA,art,art|artistic creation|artistic production|artistry|artwork|fine art|graphics|nontextual matter|prowess,creation|creative activity|superior skill|visual communication
1,patron,NNS,s,patron,frequenter|patron|sponsor|supporter,customer|client|owner|proprietor|benefactor|helper
1,private,JJ,NA,privat,individual(a)|intimate|private|secret,
1,sector,NN,NA,sector,sector|sphere,plane figure|two-dimensional figure|social group|aspect|facet|computer memory unit|tract|piece of land|piece of ground|parcel of land|parcel|measuring instrument|measuring system|measuring device
1,come,VB,NA,come,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA
1,forward,RB,NA,forward,ahead|fore|forrad|forrader|forrard|forth|forward|forwards|frontward|frontwards|onward|onwards,NA
1,fill,VB,NA,fill,conform to|fill|fill up|fit|fulfil|fulfill|make full|meet|occupy|replete|sate|satiate|satisfy|take,change|alter|modify|change state|turn|be|work|do work|provide|supply|ply|cater|hire|engage|employ|eat|consume|ingest|take in|take|have|repair|mend|fix|bushel|doctor|furbish up|restore|touch on
1,ensue,VBG,ing,ensu,ensue|result,prove|turn out|turn up
1,culture,NN,NA,cultur,acculturation|civilisation|civilization|cultivation|culture|finish|polish|refinement,society|taste|appreciation|discernment|perceptiveness|content|cognitive content|mental object|growth|growing|maturation|development|ontogeny|ontogenesis|perfection|flawlessness|ne plus ultra|attitude|mental attitude|cultivation
1,gap,NN,NA,gap,break|col|crack|disruption|gap|interruption|opening|spread,disparity|space|opening|pass|mountain pass|notch|dispute|difference|difference of opinion|conflict|delay|holdup
2,balderdash,NNP,NA,balderdash,balderdash|fiddle-faddle|piffle,nonsense|bunk|nonsensicality|meaninglessness|hokum
2,say,VBD,ed,sai,allege|articulate|aver|enjoin|enounce|enunciate|order|pronounce|read|say|sound out|state|suppose|tell,express|verbalize|verbalise|utter|give tongue to|assert|asseverate|maintain|speculate|have|feature|request|convey|recite|read|register|show|record
2,art,NN,NA,art,art|artistic creation|artistic production|artistry|artwork|fine art|graphics|nontextual matter|prowess,creation|creative activity|superior skill|visual communication
2,community,NN,NA,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
3,prove,VBG,ing,prove,bear witness|demonstrate|essay|establish|evidence|examine|leaven|prove|raise|rise|shew|show|test|testify|try|try out|turn out|turn up,be|confirm|corroborate|sustain|substantiate|support|affirm|inform|prove|demonstrate|establish|show|shew|evaluate|pass judgment|judge|grow|raise|lift|elevate|get up|bring up|print|impress|authenticate
3,wrong,JJ,NA,wrong,amiss(p)|awry(p)|faulty|haywire|ill-timed|improper|incorrect|unseasonable|untimely|wrong|wrong(p),
3,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
3,conservative,NNS,s,conserv,conservative|Conservative|conservativist,adult|grownup|member|fellow member
3,american,NNP,NA,american,American|American English|American language,inhabitant|habitant|dweller|denizen|indweller|English|English language
3,enterprise,NNP,NA,enterpris,endeavor|endeavour|enterprise|enterprisingness|go-ahead|initiative,undertaking|project|task|labor|organization|organisation|drive
3,institute,NNP,NA,institut,institute,association
3,commission,VBD,ed,commiss,commission,equip|fit|fit out|outfit|order|authorize|authorise|pass|clear
3,three,CD,NA,three,NA,NA
3,historical,JJ,NA,histor,diachronic|historic|historical,
3,portrait,NNS,s,portrait,portrait|portraiture|portrayal,word picture|word-painting|delineation|depiction|picture|characterization|characterisation|likeness|semblance
3,minnesota,NNP,NA,minnesota,Gopher State|Minn.|Minnesota|MN|North Star State,
3,artist,NN,NA,artist,artist|creative person,creator
3,mark,NNP,NA,mark,bell ringer|brand|bull's eye|chump|crisscross|cross|Deutsche Mark|Deutschmark|fall guy|fool|German mark|Gospel According to Mark|grade|gull|home run|mark|Mark|marker|marking|mug|patsy|print|Saint Mark|scar|score|scrape|scratch|sign|soft touch|St. Mark|stain|stigma|sucker|target,evaluation|valuation|rating|symbol|reference point|point of reference|reference|indication|indicant|impression|effect|German monetary unit|victim|dupe|written symbol|printed symbol|clue|clew|cue|blemish|defect|mar|marking|success
3,balma,NNP,NA,balma,,NA
3,be,VB,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
3,unveil,VBN,ed,unveil,bring out|reveal|unveil,uncover|expose|show|remove|take|take away|withdraw
3,next,JJ,NA,next,adjacent|following|future(a)|next|side by side(p)|succeeding(a),
3,month,NN,NA,month,calendar month|month,time period|period of time|period|time unit|unit of time
3,aeus,NNP,s,aeu,,NA
3,reception,NN,NA,recept,receipt|reception|response,greeting|salutation|party|broadcasting|acquiring|getting|catch|grab|snatch|snap
