text,clique_id,index,v,e,group_id
icic_105CWL038-hepple_clean,1,global,0,0,1
icic_105CWL038-hepple_clean,2,global,0.6363636363636364,0.00316455696202531,2
icic_105CWL038-hepple_clean,3,global,0.7777777777777778,0.00555555555555555,3
icic_105CWL038-hepple_clean,4,global,0.4,0.00163398692810457,4
icic_105CWL038-hepple_clean,5,global,0.25,0,5
icic_105CWL038-hepple_clean,6,global,0.5,0.0043103448275862,6
icic_105CWL038-hepple_clean,7,global,0.625,0.002710027100271,7
icic_105CWL038-hepple_clean,8,global,0.6666666666666666,0,8
icic_105CWL038-hepple_clean,9,global,0.125,0,9
icic_105CWL038-hepple_clean,10,global,0.2857142857142857,0,10
icic_105CWL038-hepple_clean,1,local,0,0,1
icic_105CWL038-hepple_clean,2,local,0.2727272727272727,0,2
icic_105CWL038-hepple_clean,3,local,0.3333333333333333,0,3
icic_105CWL038-hepple_clean,4,local,0.2,0,4
icic_105CWL038-hepple_clean,5,local,0.25,0,5
icic_105CWL038-hepple_clean,6,local,0,0,6
icic_105CWL038-hepple_clean,7,local,0.25,0,7
icic_105CWL038-hepple_clean,8,local,0.6666666666666666,0,8
icic_105CWL038-hepple_clean,9,local,0,0,9
icic_105CWL038-hepple_clean,10,local,0.14285714285714285,0,10
