text,clique_id,index,v,e,group_id
slate_Article247_63-hepple_clean,1,global,0,0,1
slate_Article247_63-hepple_clean,2,global,0.25,0,2
slate_Article247_63-hepple_clean,3,global,0.5,0,3
slate_Article247_63-hepple_clean,4,global,0.21428571428571427,0.00146627565982404,4
slate_Article247_63-hepple_clean,5,global,0.4545454545454546,0.00168350168350168,5
slate_Article247_63-hepple_clean,6,global,0.6666666666666666,0.00471698113207547,6
slate_Article247_63-hepple_clean,7,global,0.3,0,7
slate_Article247_63-hepple_clean,8,global,0.5,0.00284900284900284,8
slate_Article247_63-hepple_clean,9,global,0.25,0,9
slate_Article247_63-hepple_clean,10,global,0.09090909090909093,0,10
slate_Article247_63-hepple_clean,1,local,0,0,1
slate_Article247_63-hepple_clean,2,local,0.125,0,2
slate_Article247_63-hepple_clean,3,local,0.25,0,3
slate_Article247_63-hepple_clean,4,local,0,0,4
slate_Article247_63-hepple_clean,5,local,0.09090909090909093,0,5
slate_Article247_63-hepple_clean,6,local,0,0.0303030303030303,6
slate_Article247_63-hepple_clean,7,local,0.05,0,7
slate_Article247_63-hepple_clean,8,local,0.16666666666666666,0.01052631578947368,8
slate_Article247_63-hepple_clean,9,local,0.08333333333333333,0,9
slate_Article247_63-hepple_clean,10,local,0,0,10
