text,clique_id,index,v,e,group_id
media_A_Perk_of_Age-hepple_clean,1,global,0,0,1
media_A_Perk_of_Age-hepple_clean,2,global,0.8333333333333334,0,2
media_A_Perk_of_Age-hepple_clean,3,global,0.375,0.00151515151515151,3
media_A_Perk_of_Age-hepple_clean,4,global,0.3157894736842105,5.614823133071309e-4,4
media_A_Perk_of_Age-hepple_clean,5,global,0.2352941176470588,0.00243427458617332,5
media_A_Perk_of_Age-hepple_clean,6,global,0.8333333333333334,0,6
media_A_Perk_of_Age-hepple_clean,7,global,0.2272727272727273,9.487666034155598e-4,7
media_A_Perk_of_Age-hepple_clean,8,global,0.25,0,8
media_A_Perk_of_Age-hepple_clean,9,global,0.5294117647058824,0.00117924528301886,9
media_A_Perk_of_Age-hepple_clean,10,global,0.03225806451612903,0.00476190476190476,10
media_A_Perk_of_Age-hepple_clean,11,global,0.2777777777777778,0.00226244343891402,11
media_A_Perk_of_Age-hepple_clean,12,global,0,0,12
media_A_Perk_of_Age-hepple_clean,13,global,0,0,13
media_A_Perk_of_Age-hepple_clean,14,global,0.2222222222222222,0.0100250626566416,14
media_A_Perk_of_Age-hepple_clean,15,global,0,0.00245098039215686,15
media_A_Perk_of_Age-hepple_clean,16,global,0.2857142857142857,0.00285714285714285,16
media_A_Perk_of_Age-hepple_clean,17,global,0.375,0.00470588235294117,17
media_A_Perk_of_Age-hepple_clean,18,global,0.25,0.00531914893617021,18
media_A_Perk_of_Age-hepple_clean,19,global,0,0,19
media_A_Perk_of_Age-hepple_clean,20,global,0.2,0,20
media_A_Perk_of_Age-hepple_clean,1,local,0,0,1
media_A_Perk_of_Age-hepple_clean,2,local,0.16666666666666666,0,2
media_A_Perk_of_Age-hepple_clean,3,local,0.125,0,3
media_A_Perk_of_Age-hepple_clean,4,local,0.05263157894736842,0,4
media_A_Perk_of_Age-hepple_clean,5,local,0,0.00309597523219814,5
media_A_Perk_of_Age-hepple_clean,6,local,0.25,0.0238095238095238,6
media_A_Perk_of_Age-hepple_clean,7,local,0.13636363636363635,0,7
media_A_Perk_of_Age-hepple_clean,8,local,0,0,8
media_A_Perk_of_Age-hepple_clean,9,local,0.0588235294117647,0,9
media_A_Perk_of_Age-hepple_clean,10,local,0.03225806451612903,0,10
media_A_Perk_of_Age-hepple_clean,11,local,0.1111111111111111,0.0021551724137931,11
media_A_Perk_of_Age-hepple_clean,12,local,0,0,12
media_A_Perk_of_Age-hepple_clean,13,local,0,0,13
media_A_Perk_of_Age-hepple_clean,14,local,0,0,14
media_A_Perk_of_Age-hepple_clean,15,local,0,0.01851851851851851,15
media_A_Perk_of_Age-hepple_clean,16,local,0,0.0119047619047619,16
media_A_Perk_of_Age-hepple_clean,17,local,0.125,0.01098901098901099,17
media_A_Perk_of_Age-hepple_clean,18,local,0,0.015625,18
media_A_Perk_of_Age-hepple_clean,19,local,0,0,19
media_A_Perk_of_Age-hepple_clean,20,local,0,0,20
