text,clique_id,index,v,e,group_id
berlitz_HistoryFrance-hepple_clean,1,global,0,0,1
berlitz_HistoryFrance-hepple_clean,2,global,0.8571428571428571,6.825938566552901e-4,2
berlitz_HistoryFrance-hepple_clean,3,global,0.8333333333333334,4.4169611307420494e-4,3
berlitz_HistoryFrance-hepple_clean,4,global,0.5555555555555556,5.167424555601488e-5,4
berlitz_HistoryFrance-hepple_clean,5,global,0.5,0,5
berlitz_HistoryFrance-hepple_clean,6,global,0.45,6.789327177676693e-5,6
berlitz_HistoryFrance-hepple_clean,7,global,0.3636363636363637,1.0025062656641604e-4,7
berlitz_HistoryFrance-hepple_clean,8,global,0.5,9.441979038806532e-5,8
berlitz_HistoryFrance-hepple_clean,9,global,0.6153846153846154,0,9
berlitz_HistoryFrance-hepple_clean,10,global,0,0.0078125,10
berlitz_HistoryFrance-hepple_clean,11,global,0.14285714285714285,9.876543209876543e-4,11
berlitz_HistoryFrance-hepple_clean,12,global,0.16666666666666666,0.00113207547169811,12
berlitz_HistoryFrance-hepple_clean,13,global,0.5555555555555556,0.00127877237851662,13
berlitz_HistoryFrance-hepple_clean,14,global,0.7142857142857143,9.208103130755064e-4,14
berlitz_HistoryFrance-hepple_clean,15,global,0.625,2.42600679281902e-4,15
berlitz_HistoryFrance-hepple_clean,16,global,0.5555555555555556,2.860411899313501e-4,16
berlitz_HistoryFrance-hepple_clean,17,global,0.5,4.807692307692308e-4,17
berlitz_HistoryFrance-hepple_clean,18,global,0.5833333333333334,1.7152658662092623e-4,18
berlitz_HistoryFrance-hepple_clean,19,global,0.3333333333333333,3.779289493575208e-4,19
berlitz_HistoryFrance-hepple_clean,20,global,0.5555555555555556,3.405994550408719e-4,20
berlitz_HistoryFrance-hepple_clean,21,global,0.6,3.0656039239730225e-4,21
berlitz_HistoryFrance-hepple_clean,22,global,0.35714285714285715,3.1158471988533684e-4,22
berlitz_HistoryFrance-hepple_clean,23,global,0.625,0,23
berlitz_HistoryFrance-hepple_clean,24,global,0.6666666666666666,2.378686964795433e-4,24
berlitz_HistoryFrance-hepple_clean,25,global,0.5909090909090909,1.0161052685058171e-4,25
berlitz_HistoryFrance-hepple_clean,26,global,0.7142857142857143,0,26
berlitz_HistoryFrance-hepple_clean,27,global,0.75,0,27
berlitz_HistoryFrance-hepple_clean,28,global,0.4705882352941176,0,28
berlitz_HistoryFrance-hepple_clean,29,global,0.3333333333333333,5.5481580115401686e-5,29
berlitz_HistoryFrance-hepple_clean,30,global,1,0,30
berlitz_HistoryFrance-hepple_clean,1,local,0,0,1
berlitz_HistoryFrance-hepple_clean,2,local,0.2857142857142857,0,2
berlitz_HistoryFrance-hepple_clean,3,local,0,0,3
berlitz_HistoryFrance-hepple_clean,4,local,0,0,4
berlitz_HistoryFrance-hepple_clean,5,local,0.125,0.00840336134453781,5
berlitz_HistoryFrance-hepple_clean,6,local,0.05,0.0075187969924812,6
berlitz_HistoryFrance-hepple_clean,7,local,0.09090909090909093,0.01052631578947368,7
berlitz_HistoryFrance-hepple_clean,8,local,0,0,8
berlitz_HistoryFrance-hepple_clean,9,local,0,0,9
berlitz_HistoryFrance-hepple_clean,10,local,0.0625,0.00555555555555555,10
berlitz_HistoryFrance-hepple_clean,11,local,0.02857142857142857,0.00784313725490196,11
berlitz_HistoryFrance-hepple_clean,12,local,0.04166666666666666,0,12
berlitz_HistoryFrance-hepple_clean,13,local,0.3333333333333333,0,13
berlitz_HistoryFrance-hepple_clean,14,local,0,0.01587301587301587,14
berlitz_HistoryFrance-hepple_clean,15,local,0.0625,0,15
berlitz_HistoryFrance-hepple_clean,16,local,0.1111111111111111,0.00833333333333333,16
berlitz_HistoryFrance-hepple_clean,17,local,0.125,0.01785714285714285,17
berlitz_HistoryFrance-hepple_clean,18,local,0,0,18
berlitz_HistoryFrance-hepple_clean,19,local,0,0,19
berlitz_HistoryFrance-hepple_clean,20,local,0.05555555555555555,0,20
berlitz_HistoryFrance-hepple_clean,21,local,0,0,21
berlitz_HistoryFrance-hepple_clean,22,local,0,0.01428571428571428,22
berlitz_HistoryFrance-hepple_clean,23,local,0.125,0,23
berlitz_HistoryFrance-hepple_clean,24,local,0,0,24
berlitz_HistoryFrance-hepple_clean,25,local,0.04545454545454545,0,25
berlitz_HistoryFrance-hepple_clean,26,local,0,0.00324675324675324,26
berlitz_HistoryFrance-hepple_clean,27,local,0,0,27
berlitz_HistoryFrance-hepple_clean,28,local,0,0,28
berlitz_HistoryFrance-hepple_clean,29,local,0,0,29
berlitz_HistoryFrance-hepple_clean,30,local,0.1111111111111111,0,30
