token,lemma,upos,clique,stem,synonyms,hypernyms
rapidly,rapidly,ADV,1,rapidli,apace|chop-chop|in short order|quickly|rapidly|speedily,
developing,develop,VERB,1,develop,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand
internet,internet,NOUN,1,internet,cyberspace|internet|net,computer network
technology,technology,NOUN,1,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
comes,come,VERB,1,come,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA
appearance,appearance,NOUN,1,appear,appearance|appearing|coming into court|show|visual aspect,quality|happening|occurrence|occurrent|natural event|attendance|attending|representation|mental representation|internal representation|arrival|pretense|pretence|pretending|simulation|feigning
large,large,ADJ,1,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
amount,amount,NOUN,1,amount,amount|amount of money|measure|quantity|sum|sum of money|total,assets|magnitude|abstraction|abstract entity|quantity
text,text,NOUN,1,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
data,data,NOUN,1,data,data|information,collection|aggregation|accumulation|assemblage
day,day,NOUN,1,dai,24-hour interval|Clarence Day|Clarence Shepard Day Jr.|day|Day|daylight|daytime|mean solar day|sidereal day|solar day|twenty-four hour period|twenty-four hours,time unit|unit of time|time|calendar day|civil day|time period|period of time|period|work time|era|epoch|sidereal time|opportunity|chance
making,make,NOUN,1,make,brand|make|shuffle|shuffling,kind|sort|form|variety|reordering
analysis,analysis,NOUN,1,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy
promising,promise,VERB,1,promis,anticipate|assure|call|forebode|foretell|predict|prognosticate|promise,declare|guess|venture|pretend|hazard|be
field,field,NOUN,1,field,airfield|area|arena|athletic field|bailiwick|battlefield|battleground|champaign|discipline|domain|field|field of battle|field of force|field of honor|field of operation|field of operations|field of study|field of view|flying field|force field|landing field|line of business|orbit|plain|playing area|playing field|sphere|study|subject|subject area|subject field|theater|theater of operations|theatre|theatre of operations,tract|piece of land|piece of ground|parcel of land|parcel|region|knowledge domain|knowledge base|domain|physical phenomenon|commercial enterprise|business enterprise|business|environment|land|dry land|earth|ground|solid ground|terra firma|set|geographical area|geographic area|geographical region|geographic region|visual percept|visual image|facility|installation
researchers,researcher,NOUN,1,research,investigator|research worker|researcher,scientist
text,text,NOUN,2,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
analysis,analysis,NOUN,2,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy
feature,feature,NOUN,2,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
extraction,extraction,NOUN,2,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
basis,basis,NOUN,2,basi,base|basis|cornerstone|footing|foundation|fundament|ground|groundwork,foundation|assumption|supposition|supposal|part|portion|component part|component|constituent
extracting,extract,VERB,2,extract,distil|distill|draw out|educe|elicit|evoke|excerpt|express|extract|press out|pull|pull out|pull up|rip out|take out|tear out,remove|take|take away|withdraw|obtain|interpret|construe|see|make|create|separate|get|acquire|choose|select|pick out|calculate|cipher|cypher|compute|work out|reckon|figure
primary,primary,ADJ,2,primari,basal|chief(a)|elemental|elementary|main(a)|master(a)|primary|primary(a)|principal(a),
information,information,NOUN,2,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
represent,represent,VERB,2,repres,act|be|comprise|constitute|correspond|defend|exemplify|interpret|lay out|make up|map|play|present|represent|stage|stand for|symbolise|symbolize|typify,equal|be|mean|intend|serve|express|verbalize|verbalise|utter|give tongue to|embody|personify|re-create|describe|depict|draw|remonstrate|point out|state|say|tell|permute|commute|transpose
original,original,ADJ,2,origin,original,
main,main,ADJ,3,main,chief(a)|independent|main(a)|master(a)|primary(a)|principal(a),
object,object,ADV,3,object,,NA
feature,feature,NOUN,3,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
extraction,extraction,NOUN,3,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
reduce,reduce,NOUN,3,reduc,,NA
dimension,dimension,NOUN,3,dimens,attribute|dimension|property|proportion,magnitude|concept|conception|construct|Cartesian coordinate
representation,representation,NOUN,3,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity
eliminate,eliminate,ADJ,3,elimin,,NA
noise,noise,NOUN,3,nois,dissonance|disturbance|haphazardness|interference|noise|racket|randomness|stochasticity,sound|auditory sensation|trouble|cry|outcry|call|yell|shout|vociferation|incomprehensibility|irregularity|unregularity
space,space,NOUN,3,space,blank|blank space|distance|infinite|outer space|place|quad|space,attribute|amorphous shape|location|area|country|space|infinite|character|graph|grapheme|graphic symbol|time interval|interval|expanse|surface area|type
features,feature,NOUN,4,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
text,text,NOUN,4,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
data,data,NOUN,4,data,data|information,collection|aggregation|accumulation|assemblage
refer,refer,VERB,4,refer,advert|bear on|bring up|cite|come to|concern|consult|denote|have to do with|look up|mention|name|pertain|refer|relate|touch|touch on,think of|have in mind|mean|classify|class|sort|assort|sort out|separate|send|direct|research|intend|signify|stand for|name|call|know as|be known as
language,language,NOUN,4,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
units,unit,NOUN,4,unit,building block|social unit|unit|unit of measurement|whole,definite quantity|part|portion|component part|component|constituent|organization|organisation|whole|thing|object|physical object
words,word,NOUN,4,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text
phrases,phrase,NOUN,4,phrase,idiom|idiomatic expression|musical phrase|phrasal idiom|phrase|set phrase,construction|grammatical construction|expression|passage|musical passage|saying|locution|dancing|dance|terpsichore|saltation
collobert,collobert,NOUN,4,collobert,,NA
even,even,ADV,4,even,even|still|yet,NA
characters,characters,NOUN,4,charact,,NA
also,also,ADV,4,also,also|as well|besides|likewise|too,NA
perform,perform,VERB,4,perform,do|execute|perform,act|move|re-create|carry through|accomplish|execute|carry out|action|fulfill|fulfil
good,good,ADJ,4,good,adept|beneficial|dear|dependable|effective|estimable|expert|full|good|honest|honorable|in effect(p)|in force(p)|just|near|practiced|proficient|respectable|right|ripe|safe|salutary|secure|serious|skilful|skillful|sound|unspoiled|unspoilt|upright|well(p),
results,result,NOUN,4,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role
specific,specific,ADJ,4,specif,specific,
tasks,tasnks,NOUN,4,tasnk,,NA
zhang,zhang,NOUN,4,zhang,,NA
there,there,ADV,5,there,there|thither,NA
numerous,numerous,ADJ,5,numer,legion(p)|numerous,
machine,machine,NOUN,5,machin,auto|automobile|car|machine|motorcar|political machine|simple machine,device|person|individual|someone|somebody|mortal|soul|organization|organisation|mechanical device|motor vehicle|automotive vehicle
learning,learn,VERB,5,learn,acquire|ascertain|check|con|determine|discover|find out|get a line|get wind|get word|hear|instruct|larn|learn|memorise|memorize|pick up|read|see|study|take|teach|watch,study|hit the books|inform
methods,method,NOUN,5,method,method|method acting,know-how|acting|playing|playacting|performing
achieve,achieve,VERB,5,achiev,accomplish|achieve|attain|reach,succeed|win|come through|bring home the bacon|deliver the goods
feature,feature,NOUN,5,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
extraction,extraction,NOUN,5,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
common,common,ADJ,5,common,coarse|common|mutual|plebeian|rough-cut|uncouth|unwashed|usual|vernacular|vulgar,
advantage,advantage,NOUN,5,advantag,advantage|reward|vantage,asset|plus|point|benefit|welfare
adaptive,adaptive,ADJ,5,adapt,adaptative|adaptive,
different,different,ADJ,5,differ,different,
tasks,tasnks,NOUN,5,tasnk,,NA
gupta,gupta,NOUN,5,gupta,,NA
yan,yan,ADJ,5,yan,,NA
recent,recent,ADJ,6,recent,late(a)|recent,
years,year,NOUN,6,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
success,success,NOUN,6,success,achiever|succeeder|success|winner,happening|occurrence|occurrent|natural event|attainment|prosperity|successfulness|person|individual|someone|somebody|mortal|soul
distributed,distribute,VERB,6,distribut,administer|allot|broadcast|circularise|circularize|circulate|deal|deal out|diffuse|dish out|dispense|disperse|disseminate|distribute|dole out|give out|hand out|lot|mete out|parcel out|pass around|pass on|pass out|propagate|shell out|spread|stagger,give|transfer|gift|present|move|displace|publicize|publicise|air|bare|spread|scatter|spread out|exist|be|arrange|set up
representation,representation,NOUN,6,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity
words,word,NOUN,6,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text
le,le,NOUN,6,le,LE|lupus erythematosus,lupus|autoimmune disease|autoimmune disorder
pennington,pennington,NOUN,6,pennington,,NA
devlin,devlin,NOUN,6,devlin,,NA
has,have,VERB,6,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
inspired,inspir,VERB,6,inspir,,NA
researchers,researcher,NOUN,6,research,investigator|research worker|researcher,scientist
learn,learn,VERB,6,learn,acquire|ascertain|check|con|determine|discover|find out|get a line|get wind|get word|hear|instruct|larn|learn|memorise|memorize|pick up|read|see|study|take|teach|watch,study|hit the books|inform
features,feature,NOUN,6,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
text,text,NOUN,6,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
training,training,NOUN,6,train,breeding|education|grooming|preparation|training,activity|upbringing
neural,neural,ADJ,6,neural,nervous|neural|neuronal|neuronic,
network,network,NOUN,6,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
kim,kim,NOUN,6,kim,,NA
yin,yin,NOUN,6,yin,yin,principle|rule
foland,foland,NOUN,6,foland,,NA
martin,martin,NOUN,6,martin,Dean Martin|Dino Paul Crocetti|martin|Martin|Mary Martin|St. Martin|Steve Martin,swallow
liang,liang,NOUN,6,liang,,NA
young,young,ADJ,6,young,immature|new|unseasoned|untested|untried|vernal|young|youthful,
same,same,ADJ,7,same,like|same|same(p),
time,time,NOUN,7,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
explosion,explosion,NOUN,7,explos,blowup|burst|detonation|explosion|plosion,discharge|change of integrity|increase|noise|release|tone ending|effusion|gush|outburst|blowup|ebullition|golf stroke|golf shot|swing
data,data,NOUN,7,data,data|information,collection|aggregation|accumulation|assemblage
internet,internet,NOUN,7,internet,cyberspace|internet|net,computer network
provides,provide,NOUN,7,provid,,NA
large,large,ADJ,7,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
datasets,dataset,NOUN,7,dataset,,NA
deep,deep,ADJ,7,deep,abstruse|bass|cryptic|cryptical|deep|inscrutable|mysterious|mystifying|recondite|rich|thick,
learning,learn,VERB,7,learn,acquire|ascertain|check|con|determine|discover|find out|get a line|get wind|get word|hear|instruct|larn|learn|memorise|memorize|pick up|read|see|study|take|teach|watch,study|hit the books|inform
methods,method,NOUN,7,method,method|method acting,know-how|acting|playing|playacting|performing
based,base,VERB,8,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs
large,large,ADJ,8,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
amount,amount,NOUN,8,amount,amount|amount of money|measure|quantity|sum|sum of money|total,assets|magnitude|abstraction|abstract entity|quantity
training,training,NOUN,8,train,breeding|education|grooming|preparation|training,activity|upbringing
data,data,NOUN,8,data,data|information,collection|aggregation|accumulation|assemblage
transformer,transformer,NOUN,8,transform,transformer,electrical device
have,have,VERB,8,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
achieved,achieve,VERB,8,achiev,accomplish|achieve|attain|reach,succeed|win|come through|bring home the bacon|deliver the goods
significant,significant,ADJ,8,signific,important|meaning(a)|pregnant|significant|substantial,
improvement,improveament,NOUN,8,improvea,,NA
