token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
mihalcea,mihalcea,NOUN,51,mihalcea,NA,NA,S0020025508004520,S0020025508004520_51
work,work,NOUN,51,work,body of work|employment|oeuvre|piece of work|study|work|workplace,activity|product|production|occupation|business|job|line of work|line|learning|acquisition|energy|free energy|geographic point|geographical point|end product|output,S0020025508004520,S0020025508004520_51
extract,extract,NOUN,51,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_51
generated,generate,VERB,51,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce,S0020025508004520,S0020025508004520_51
selecting,select,VERB,51,select,choose|pick out|select|take,decide|make up one's mind|determine,S0020025508004520,S0020025508004520_51
sentences,sentences,NOUN,51,sentenc,NA,NA,S0020025508004520,S0020025508004520_51
highest,highest,ADJ,51,highest,NA,NA,S0020025508004520,S0020025508004520_51
ranks,rank,NOUN,51,rank,membership|rank|rank and file|social rank|social station|social status,line|status|position|force|personnel|body,S0020025508004520,S0020025508004520_51
given,give,VERB,51,give,afford|apply|break|cave in|chip in|collapse|commit|consecrate|contribute|dedicate|devote|ease up|establish|fall in|feed|founder|generate|gift|give|give way|grant|hand|have|hold|impart|kick in|leave|make|move over|open|pass|pass on|pay|present|reach|render|return|sacrifice|throw|turn over|yield,supply|provide|render|furnish|transfer|state|say|tell|communicate|intercommunicate|direct|make|create|think|cogitate|cerebrate|produce|pass|hand|reach|pass on|turn over|give|utter|emit|let out|let loose|release|relinquish|resign|free|give up|use|utilize|utilise|apply|employ|administer|dispense|distribute|mete out|deal|parcel out|lot|shell out|deal out|dish out|allot|dole out|move|ply|cater|change|estimate|gauge|approximate|guess|judge|execute|compensate|recompense|repair|indemnify|show|perform|stretch|toast|drink|pledge|salute|wassail|accord|grant|express|evince|submit|lead|permit|allow|let|countenance|inflict|bring down|visit|impose|happen|hap|go on|pass off|occur|fall out|come about|take place|accept|consent|go for|offer|proffer,S0020025508004520,S0020025508004520_51
recommendation,recommendation,NOUN,51,recommend,good word|passport|recommendation|testimonial,advice|praise|congratulations|kudos|extolment|characteristic,S0020025508004520,S0020025508004520_51
algorithms,algorithm,NOUN,51,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula,S0020025508004520,S0020025508004520_51
developed,develop,VERB,51,develop,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand,S0020025508004520,S0020025508004520_51
classify,classify,NOUN,51,classifi,NA,NA,S0020025508004520,S0020025508004520_51
web,web,NOUN,51,web,entanglement|network|vane|web|World Wide Web|WWW,object|physical object|trap|blade|system|scheme|computer network|fabric|cloth|material|textile|membrane|tissue layer,S0020025508004520,S0020025508004520_51
pages,pag,NOUN,51,pag,NA,NA,S0020025508004520,S0020025508004520_51
google,google,PROPN,51,googl,NA,NA,S0020025508004520,S0020025508004520_51
pagerank,pagerank,NOUN,51,pagerank,NA,NA,S0020025508004520,S0020025508004520_51
hits,hit,NOUN,51,hit,bang|collision|hit|hitting|smash|smasher|strike|striking,feat|effort|exploit|touch|touching|success|contact|impinging|striking|dose|dosage|murder|slaying|execution|joining|connection|connexion,S0020025508004520,S0020025508004520_51
sake,sake,NOUN,69,sake,interest|rice beer|sake|saki,benefit|welfare|alcohol|alcoholic drink|alcoholic beverage|intoxicant|inebriant|purpose|intent|intention|aim|design,S0020025508004520,S0020025508004520_69
clarity,clarity,NOUN,69,clariti,clarity|clearness|limpidity|lucidity|lucidness|pellucidity|uncloudedness,comprehensibility|understandability|quality,S0020025508004520,S0020025508004520_69
focus,focus,NOUN,69,focu,centering|direction|focal point|focus|focusing|focussing|nidus|stress,concentration|engrossment|absorption|immersion|distinctness|sharpness|clarity|lucidity|lucidness|pellucidity|clearness|limpidity|point|emphasis|accent,S0020025508004520,S0020025508004520_69
analysis,analysis,NOUN,69,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy,S0020025508004520,S0020025508004520_69
mainly,mainly,ADV,69,mainli,chiefly|in the main|mainly|primarily|principally,NA,S0020025508004520,S0020025508004520_69
extractive,extractive,ADJ,69,extract,NA,NA,S0020025508004520,S0020025508004520_69
algorithms,algorithm,NOUN,69,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula,S0020025508004520,S0020025508004520_69
employed,employ,VERB,69,emploi,apply|employ|engage|hire|use|utilise|utilize,NA,S0020025508004520,S0020025508004520_69
simple,simple,ADJ,69,simpl,bare(a)|childlike|dewy-eyed|dim-witted|elementary|mere(a)|round-eyed|simple|simple-minded|simple(a)|uncomplicated|unproblematic|unsubdivided|wide-eyed,NA,S0020025508004520,S0020025508004520_69
